"Player","Position","DraftType","PointsOverRep","DraftPosition","MeanResidual"
"Peyton Manning","QB","adp",280.4,16,179.948718418208
"Jamaal Charles","RB","value",214.7,7,143.483997460987
"Josh Gordon","WR","value",131.7,98,132.848108990401
"Andy Dalton","QB","value",118.44,122,123.676968993586
"LeSean McCoy","RB","value",189.3,11,121.027030917006
"Matt Forte","RB","value",172,18,108.87733946504
"Alshon Jeffery","WR","adp",92.9,112,105.272160506919
"Fred Jackson","RB","adp",92.4,117,102.117417501518
"Drew Brees","QB","adp",196.1,13,92.6575415151315
"Jimmy Graham","TE","value",168.2,26,78.6051303360761
"Eddie Lacy","RB","adp",118.2,45,74.9428152931704
"Antonio Brown","WR","value",101.2,62,73.4862622336395
"Marshawn Lynch","RB","adp",144,4,70.5767223689724
"Demaryius Thomas","WR","adp",127.3,25,69.9226975114123
"Danny Woodhead","RB","value",58.1,118,68.5531758655229
"DeSean Jackson","WR","adp",89.7,69,67.5982879918986
"Ben Roethlisberger","QB","adp",78.76,105,67.046966542818
"Ryan Mathews","RB","adp",93.1,68,66.7652576652815
"Eric Decker","WR","value",95.1,54,60.9725185099147
"Jordan Cameron","TE","value",82.4,111,59.1569217983543
