name,pos,stan.proj,adp,rec
Adrian Peterson,RB,273.4,1.6,39.1
Arian Foster,RB,242.2,3.3,42.1
Marshawn Lynch,RB,230.9,4.3,24.9
Ray Rice,RB,222.8,5.4,60.8
Doug Martin,RB,244.1,6.3,53.6
Jamaal Charles,RB,235.6,8.3,56.9
Aaron Rodgers,QB,347,9.7,0
C.J. Spiller,RB,239.6,9.2,48.6
Calvin Johnson,WR,225.3,9.9,105.3
Trent Richardson,RB,225,10.2,49.1
Drew Brees,QB,339.5,12.8,0
LeSean McCoy,RB,219.9,12.3,53.3
Alfred Morris,RB,215.8,12.2,14.8
Peyton Manning,QB,321.3,16.5,0
A.J. Green,WR,199.4,16,93.3
Matt Forte,RB,201.3,18.2,58.4
Steven Jackson,RB,195.6,17.4,40.2
Dez Bryant,WR,198.8,18.1,94.4
Tom Brady,QB,307.3,21.7,0
Brandon Marshall,WR,195.4,22,104.8
Julio Jones,WR,192,22.7,83.5
Frank Gore,RB,178,23.4,24.5
Stevan Ridley,RB,194.2,22.7,8.9
Chris Johnson,RB,193.5,25.2,39.8
Demaryius Thomas,WR,184.3,26,85.2
Jimmy Graham,TE,171.5,28.3,89.2
Maurice Jones-Drew,RB,187.3,28.5,37.8
Roddy White,WR,175.4,29.9,90.1
Andre Johnson,WR,175.6,30.4,96.2
Cam Newton,QB,321.4,33.1,0
Larry Fitzgerald,WR,176.9,32,89.3
Vincent Jackson,WR,172.3,35.5,71.9
Wes Welker,WR,147.3,36.3,87
Matt Ryan,QB,301.5,36.8,0
Randall Cobb,WR,175,36,93.7
Colin Kaepernick,QB,300.1,39,0
David Wilson,RB,174.4,32,27
Victor Cruz,WR,165.8,38.9,85.8
Darren McFadden,RB,171.9,40.6,38.7
Reggie Bush,RB,189.4,41.3,70.6
DeMarco Murray,RB,184.3,43.2,41
Eddie Lacy,RB,144.4,41.1,21.8
Marques Colston,WR,157.8,44.1,79.6
Reggie Wayne,WR,153.2,45.3,87.9
Robert Griffin III,QB,289.1,47.3,0
Darren Sproles,RB,161.3,47.3,79.7
Mike Wallace,WR,140.9,49.9,64.3
Danny Amendola,WR,142.9,49.8,90.5
Tony Gonzalez,TE,130.1,52,85.2
Rob Gronkowski,TE,154.3,46.4,68.2
Jason Witten,TE,127,55.3,91.7
Montee Ball,RB,141.8,61.6,21.9
Dwayne Bowe,WR,154.8,55.3,79.7
Matthew Stafford,QB,292.3,59.5,0
Vernon Davis,TE,121,57.4,64.5
Hakeem Nicks,WR,141.8,57.2,68.2
Steve Smith,WR,148.4,57.6,71.8
Eric Decker,WR,148.3,57.8,71.3
Russell Wilson,QB,282.2,61,0
James Jones,WR,139,60.7,67.5
Ryan Mathews,RB,142,66.8,31.9
Andrew Luck,QB,291.5,68.3,0
Jordy Nelson,WR,143.4,66.7,65.4
Lamar Miller,RB,173.2,55.2,32.7
Antonio Brown,WR,145,67.6,79.1
DeSean Jackson,WR,135,71,63.9
Torrey Smith,WR,147.9,70.1,61.6
Pierre Garcon,WR,153.5,70,75.3
Christopher Ivory,RB,146.6,73.6,14.6
Ahmad Bradshaw,RB,141,72.9,27.8
Tony Romo,QB,279.2,78.7,0
Giovani Bernard,RB,134.2,77.8,38.5
Anquan Boldin,WR,121.4,80.3,62.8
DeAngelo Williams,RB,124.8,75.4,18.9
Danny Woodhead,RB,102.2,142,41.8
Kyle Rudolph,TE,101.9,80.7,58.4
Tavon Austin,WR,126.4,82.6,72
Greg Jennings,WR,120.8,83.9,64.3
BenJarvus Green-Ellis,RB,119.7,84.6,11.6
Owen Daniels,TE,97,84.3,60.4
Cecil Shorts,WR,141,83.1,67.1
Greg Olsen,TE,107.9,85.8,63.9
Ty Hilton,WR,135.8,88.6,62.4
Steve Johnson,WR,132.7,88.4,71.7
Antonio Gates,TE,104.3,91.2,58.3
Daryl Richardson,RB,134.8,87.6,35.9
Sidney Rice,WR,108.6,88.5,51
Eli Manning,QB,256.6,92.3,0
Rashard Mendenhall,RB,144.7,86.9,22.5
Miles Austin,WR,125.6,90.7,61.9
Shane Vereen,RB,135.5,93.4,51.4
Jermichael Finley,TE,106.1,101.4,62.2
Mike Williams,WR,131.1,100.5,64.3
Lance Moore,WR,126.3,104.3,62.5
Michael Vick,QB,229.3,102.5,0
Mark Ingram,RB,118.7,98.9,10.2
Vick Ballard,RB,101.1,104.9,20.9
Ben Roethlisberger,QB,231.5,108.2,0
Andre Brown,RB,125,187,20.7
Joe Flacco,QB,226.9,119.8,0
Ronnie Hillman,RB,111.5,132.9,30.9
Kenny Britt,WR,126.1,115.1,58.1
Brandon Myers,TE,94.3,110.4,62
Emmanuel Sanders,WR,112.8,115.2,63
Jared Cook,TE,103.9,117.7,58.1
Golden Tate,WR,121,118.3,57
Matt Schaub,QB,226.8,118.1,0
Le'Veon Bell,RB,117.6,150,20.3
Chris Givens,WR,117.7,117,57.5
Andy Dalton,QB,240.6,122.7,0
Denarius Moore,WR,113.3,120.5,54
Josh Gordon,WR,125,120.5,55.3
Ben Tate,RB,103.2,107,14.8
Jay Cutler,QB,225.9,126.5,0
Isaiah Pead,RB,79.5,117.7,15
Bryce Brown,RB,95.2,123.8,17.9
Sam Bradford,QB,225,125.8,0
Vincent Brown,WR,104.3,128.3,53.4
Kenbrell Thompkins,WR,93.3,125.4,50
Martellus Bennett,TE,93.9,130.3,54.2
Alex Smith,QB,219.1,130.9,0
Carson Palmer,QB,226.6,129.3,0
Philip Rivers,QB,220.7,130.1,0
Fred Jackson,RB,96,127.3,25.2
Jordan Cameron,TE,92.4,132.8,55.7
Josh Freeman,QB,238.4,132.2,0
Mikel Leshoure,RB,77.4,145.6,12.7
Michael Floyd,WR,116.1,138.6,62.3
Brandon Pettigrew,TE,91.3,132.7,63.9
Zach Sudfeld,TE,65.7,132,32.1
Fred Davis,TE,86.7,134.4,48.8
