"Player","Position","DraftType","PointsOverRep","DraftPosition","PositionRank","OverallRank"
"Cam Newton","QB","value",112.08,34,4,13
"Matthew Stafford","QB","value",87.32,58,6,29
"Andrew Luck","QB","value",93,59,5,25
"Robert Griffin","QB","value",-2.56,63,14,91
"Russell Wilson","QB","value",78.5999999999999,70,9,37
"Tony Romo","QB","value",85.34,74,7,31
"Andy Dalton","QB","value",118.44,122,3,11
"Josh Freeman","QB","value",-197.14,123,18,130
"Joe Flacco","QB","value",0,126,13,86
"Doug Martin","RB","value",-35.1,2,39,110
"Arian Foster","RB","value",-4.80000000000001,3,34,94
"C.J. Spiller","RB","value",26.5,6,22.5,67.5
"Jamaal Charles","RB","value",214.7,7,1,2
"Trent Richardson","RB","value",16.6,10,25,72
"LeSean McCoy","RB","value",189.3,11,2,4
"Matt Forte","RB","value",172,18,3,5
"Stevan Ridley","RB","value",28.2,22,21,65
"Chris Johnson","RB","value",106.9,23,8,18
"Reggie Bush","RB","value",93.9,27,9,23
"DeMarco Murray","RB","value",111.8,30,6,14
"Lamar Miller","RB","value",8.59999999999999,39,30,79
"Darren McFadden","RB","value",-5.96000000000001,42,35,95
"Darren Sproles","RB","value",13.1,46,27,75
"Chris Ivory","RB","value",8.99999999999999,66,29,77
"Rashard Mendenhall","RB","value",32.8,86,19,61
"Shane Vereen","RB","value",-3.80000000000001,90,33,92
"Daryl Richardson","RB","value",-55.7,91,45,121
"Andre Brown","RB","value",-17.8,102,36,100
"Ronnie Hillman","RB","value",-53.6,114,43,119
"Danny Woodhead","RB","value",58.1,118,15,48
"Pierre Thomas","RB","value",42.9,119,18,55
"Jacquizz Rodgers","RB","value",0,127,31,86
"Bilal Powell","RB","value",12.8,130,28,76
"A.J. Green","WR","value",110.9,14,4,16
"Dez Bryant","WR","value",99.7,15,7,21
"Brandon Marshall","WR","value",105.8,19,5,19
"Larry Fitzgerald","WR","value",58.5,31,16,47
"Randall Cobb","WR","value",-20.6,35,38,103
"Marques Colston","WR","value",28.6,43,22,64
"Dwayne Bowe","WR","value",1.59999999999999,47,29,83
"Pierre Garcon","WR","value",68.8,50,13,41
"Steve Smith","WR","value",2.8,51,28,81
"Eric Decker","WR","value",95.1,54,8,22
"Torrey Smith","WR","value",39.1,55,19,58
"Antonio Brown","WR","value",101.2,62,6,20
"Cecil Shorts","WR","value",0,67,30.5,86
"T.Y. Hilton","WR","value",41.2,71,17,56
"Steve Johnson","WR","value",-19,75,36,101
"Mike Williams","WR","value",-62.1,87,46,123
"Lance Moore","WR","value",-40,94,42,114
"Kenny Britt","WR","value",-86.1,95,48,128
"Josh Gordon","WR","value",131.7,98,1,8
"Golden Tate","WR","value",21.2,99,24,71
"Chris Givens","WR","value",-40,103,43,115
"Michael Floyd","WR","value",38.4,106,20,59
"Denarius Moore","WR","value",3.8,107,27,80
"Rueben Randle","WR","value",-4.60000000000001,115,32,93
"Jimmy Graham","TE","value",168.2,26,1,6
"Rob Gronkowski","TE","value",33.9,38,10,60
