"name","adp","value1","pos"
"Adrian Peterson",1.6,139.042424242424,"RB"
"Arian Foster",3.3,107.842424242424,"RB"
"Marshawn Lynch",4.3,96.5424242424243,"RB"
"Ray Rice",5.4,88.4424242424243,"RB"
"Doug Martin",6.3,109.742424242424,"RB"
"Jamaal Charles",8.3,101.242424242424,"RB"
"Aaron Rodgers",9.7,72,"QB"
"C.J. Spiller",9.2,105.242424242424,"RB"
"Calvin Johnson",9.9,95.3878787878788,"WR"
"Trent Richardson",10.2,90.6424242424243,"RB"
"Drew Brees",12.8,64.5,"QB"
"LeSean McCoy",12.3,85.5424242424243,"RB"
"Alfred Morris",12.2,81.4424242424243,"RB"
"Peyton Manning",16.5,46.3,"QB"
"A.J. Green",16,69.4878787878788,"WR"
"Matt Forte",18.2,66.9424242424243,"RB"
"Steven Jackson",17.4,61.2424242424242,"RB"
"Dez Bryant",18.1,68.8878787878788,"WR"
"Tom Brady",21.7,32.3,"QB"
"Brandon Marshall",22,65.4878787878788,"WR"
"Julio Jones",22.7,62.0878787878788,"WR"
"Frank Gore",23.4,43.6424242424243,"RB"
"Stevan Ridley",22.7,59.8424242424242,"RB"
"Chris Johnson",25.2,59.1424242424243,"RB"
"Demaryius Thomas",26,54.3878787878788,"WR"
"Jimmy Graham",28.3,58.3733333333333,"TE"
"Maurice Jones-Drew",28.5,52.9424242424243,"RB"
"Roddy White",29.9,45.4878787878788,"WR"
"Andre Johnson",30.4,45.6878787878788,"WR"
"Cam Newton",33.1,46.4,"QB"
"Larry Fitzgerald",32,46.9878787878788,"WR"
"Vincent Jackson",35.5,42.3878787878788,"WR"
"Wes Welker",36.3,17.3878787878788,"WR"
"Matt Ryan",36.8,26.5,"QB"
"Randall Cobb",36,45.0878787878788,"WR"
"Colin Kaepernick",39,25.1,"QB"
"David Wilson",32,40.0424242424243,"RB"
"Victor Cruz",38.9,35.8878787878788,"WR"
"Darren McFadden",40.6,37.5424242424243,"RB"
"Reggie Bush",41.3,55.0424242424243,"RB"
"DeMarco Murray",43.2,49.9424242424243,"RB"
"Eddie Lacy",41.1,10.0424242424243,"RB"
"Marques Colston",44.1,27.8878787878788,"WR"
"Reggie Wayne",45.3,23.2878787878788,"WR"
"Robert Griffin III",47.3,14.1,"QB"
"Darren Sproles",47.3,26.9424242424243,"RB"
"Mike Wallace",49.9,10.9878787878788,"WR"
"Danny Amendola",49.8,12.9878787878788,"WR"
"Tony Gonzalez",52,16.9733333333333,"TE"
"Rob Gronkowski",46.4,41.1733333333333,"TE"
"Jason Witten",55.3,13.8733333333333,"TE"
"Montee Ball",61.6,7.44242424242427,"RB"
"Dwayne Bowe",55.3,24.8878787878788,"WR"
"Matthew Stafford",59.5,17.3,"QB"
"Vernon Davis",57.4,7.87333333333333,"TE"
"Hakeem Nicks",57.2,11.8878787878788,"WR"
"Steve Smith",57.6,18.4878787878788,"WR"
"Eric Decker",57.8,18.3878787878788,"WR"
"Russell Wilson",61,7.19999999999999,"QB"
"James Jones",60.7,9.08787878787879,"WR"
"Ryan Mathews",66.8,7.64242424242425,"RB"
"Andrew Luck",68.3,16.5,"QB"
"Jordy Nelson",66.7,13.4878787878788,"WR"
"Lamar Miller",55.2,38.8424242424242,"RB"
"Antonio Brown",67.6,15.0878787878788,"WR"
"DeSean Jackson",71,5.08787878787879,"WR"
"Torrey Smith",70.1,17.9878787878788,"WR"
"Pierre Garcon",70,23.5878787878788,"WR"
"Christopher Ivory",73.6,12.2424242424242,"RB"
"Ahmad Bradshaw",72.9,6.64242424242425,"RB"
"Tony Romo",78.7,4.19999999999999,"QB"
"Giovani Bernard",77.8,-0.157575757575756,"RB"
"Anquan Boldin",80.3,-8.5121212121212,"WR"
"DeAngelo Williams",75.4,-9.55757575757575,"RB"
"Danny Woodhead",142,-32.1575757575757,"RB"
"Kyle Rudolph",80.7,-11.2266666666667,"TE"
"Tavon Austin",82.6,-3.5121212121212,"WR"
"Greg Jennings",83.9,-9.11212121212121,"WR"
"BenJarvus Green-Ellis",84.6,-14.6575757575757,"RB"
"Owen Daniels",84.3,-16.1266666666667,"TE"
"Cecil Shorts",83.1,11.0878787878788,"WR"
"Greg Olsen",85.8,-5.22666666666666,"TE"
"Ty Hilton",88.6,5.8878787878788,"WR"
"Steve Johnson",88.4,2.78787878787878,"WR"
"Antonio Gates",91.2,-8.82666666666667,"TE"
"Daryl Richardson",87.6,0.442424242424266,"RB"
"Sidney Rice",88.5,-21.3121212121212,"WR"
"Eli Manning",92.3,-18.4,"QB"
"Rashard Mendenhall",86.9,10.3424242424242,"RB"
"Miles Austin",90.7,-4.31212121212121,"WR"
"Shane Vereen",93.4,1.14242424242425,"RB"
"Jermichael Finley",101.4,-7.02666666666667,"TE"
"Mike Williams",100.5,1.18787878787879,"WR"
"Lance Moore",104.3,-3.61212121212121,"WR"
"Michael Vick",102.5,-45.7,"QB"
"Mark Ingram",98.9,-15.6575757575757,"RB"
"Vick Ballard",104.9,-33.2575757575758,"RB"
"Ben Roethlisberger",108.2,-43.5,"QB"
"Andre Brown",187,-9.35757575757575,"RB"
"Joe Flacco",119.8,-48.1,"QB"
"Ronnie Hillman",132.9,-22.8575757575757,"RB"
"Kenny Britt",115.1,-3.81212121212121,"WR"
"Brandon Myers",110.4,-18.8266666666667,"TE"
"Emmanuel Sanders",115.2,-17.1121212121212,"WR"
"Jared Cook",117.7,-9.22666666666666,"TE"
"Golden Tate",118.3,-8.91212121212121,"WR"
"Matt Schaub",118.1,-48.2,"QB"
"Chris Givens",117,-12.2121212121212,"WR"
"Andy Dalton",122.7,-34.4,"QB"
"Denarius Moore",120.5,-16.6121212121212,"WR"
"Josh Gordon",120.5,-4.91212121212121,"WR"
"Ben Tate",107,-31.1575757575757,"RB"
"Jay Cutler",126.5,-49.1,"QB"
"Isaiah Pead",117.7,-54.8575757575757,"RB"
"Bryce Brown",123.8,-39.1575757575757,"RB"
"Sam Bradford",125.8,-50,"QB"
"Vincent Brown",128.3,-25.6121212121212,"WR"
"Kenbrell Thompkins",125.4,-36.6121212121212,"WR"
"Martellus Bennett",130.3,-19.2266666666667,"TE"
"Alex Smith",130.9,-55.9,"QB"
"Carson Palmer",129.3,-48.4,"QB"
"Philip Rivers",130.1,-54.3,"QB"
"Fred Jackson",127.3,-38.3575757575757,"RB"
"Jordan Cameron",132.8,-20.7266666666667,"TE"
"Josh Freeman",132.2,-36.6,"QB"
"Mikel Leshoure",145.6,-56.9575757575757,"RB"
"Michael Floyd",138.6,-13.8121212121212,"WR"
"Brandon Pettigrew",132.7,-21.8266666666667,"TE"
"Zach Sudfeld",132,-47.4266666666667,"TE"
"Fred Davis",134.4,-26.4266666666667,"TE"
"Bernard Pierce",130.3,-35.4575757575757,"RB"
"Alshon Jeffery",120.3,-25.6121212121212,"WR"
"DeAndre Hopkins",133.8,-28.3121212121212,"WR"
"Jacquizz Rodgers",133.3,-49.0575757575757,"RB"
"Ryan Tannehill",140.8,-63.2,"QB"
"Ryan Broyles",137.6,-25.0121212121212,"WR"
"Jermaine Gresham",136.7,-37.0266666666667,"TE"
"Jonathan Dwyer",160,-61.7575757575758,"RB"
"Malcom Floyd",138.6,-38.1121212121212,"WR"
"E.J. Manuel",141,-92.5,"QB"
"Michael Bush",140.2,-54.2575757575758,"RB"
"Rueben Randle",139.7,-24.7121212121212,"WR"
"Kendall Wright",141.8,-27.6121212121212,"WR"
"Tyler Eifert",139.4,-35.3266666666667,"TE"
"Justin Blackmon",141,-26.2121212121212,"WR"
"Coby Fleener",142.4,-33.4266666666667,"TE"
"Julius Thomas",142.9,-49.8266666666667,"TE"
"Pierre Thomas",143.2,-33.5575757575757,"RB"
"Santana Moss",143.4,-53.3121212121212,"WR"
"Shonn Greene",143.8,-54.7575757575758,"RB"
"Bilal Powell",144.8,-53.6575757575757,"RB"
"Jacoby Jones",145,-46.5121212121212,"WR"
"Brian Hartline",146.7,-29.2121212121212,"WR"
"Darrius Heyward-Bey",146.9,-42.0121212121212,"WR"
"Ed Dickson",149.1,-38.7266666666667,"TE"
"Aaron Dobson",149.7,-51.0121212121212,"WR"
"Andre Roberts",152.8,-43.5121212121212,"WR"
"Daniel Thomas",148.5,-57.7575757575758,"RB"
"Austin Collie",153.4,-82.7121212121212,"WR"
"Brandon Weeden",160,-71.1,"QB"
"Jake Locker",160,-73.5,"QB"
"Christian Ponder",160,-103.9,"QB"
"Matt Flynn",160,-115,"QB"
"Geno Smith",160,-142.4,"QB"
"Blaine Gabbert",160,-147.8,"QB"
"Chad Henne",160,-199.2,"QB"
"Mark Sanchez",160,-224.7,"QB"
"Nick Foles",160,-225.2,"QB"
"Kevin Kolb",160,-229.3,"QB"
"Matt Cassel",160,-230.6,"QB"
"Terrelle Pryor",160,-233.9,"QB"
"Ryan Fitzpatrick",160,-236.4,"QB"
"Kirk Cousins",160,-245.6,"QB"
"Matt Barkley",160,-254.3,"QB"
"Bruce Gradkowski",160,-256.1,"QB"
"Jason Campbell",160,-259.4,"QB"
"Chase Daniel",160,-262,"QB"
"Matt Moore",160,-263.2,"QB"
"Drew Stanton",160,-265.6,"QB"
"Tyler Wilson",160,-266.1,"QB"
"Brian Hoyer",160,-266.4,"QB"
"Tyrod Taylor",160,-266.8,"QB"
"Domanique Davis",160,-266.9,"QB"
"Josh McCown",160,-267.6,"QB"
"Colt McCoy",160,-267.9,"QB"
"Seneca Wallace",160,-268,"QB"
"Dennis Dixon",160,-268.4,"QB"
"Tim Tebow",160,-268.9,"QB"
"Kyle Orton",160,-269.1,"QB"
"Charlie Whitehurst",160,-269.2,"QB"
"Graham Harrell",160,-269.4,"QB"
"Shaun Hill",160,-269.7,"QB"
"Brock Osweiler",160,-270.6,"QB"
"Josh Johnson",160,-270.9,"QB"
"Ryan Mallett",160,-272.3,"QB"
"Curtis Painter",160,-272.6,"QB"
"Taylor Yates",160,-273.2,"QB"
"Luke McCown",160,-273.2,"QB"
"Matt Hasselbeck",160,-273.3,"QB"
"Brady Quinn",160,-273.4,"QB"
"Austin Davis",160,-273.5,"QB"
"Vince Young",160,-273.6,"QB"
"Ryan Nassib",160,-273.9,"QB"
"Tarvaris Jackson",160,-274,"QB"
"Dan Orlovsky",160,-274,"QB"
"Mike Glennon",160,-274.1,"QB"
"Derek Anderson",160,-274.1,"QB"
"David Carr",160,-274.4,"QB"
"Kellen Clemens",160,-275,"QB"
"Stephen McGee",160,-275,"QB"
"Mike Kafka",160,-275,"QB"
"Jeff Tuel",160,-275,"QB"
"McLeod Bethel-Thompson",160,-275,"QB"
"Trent Edwards",160,-275,"QB"
"Matt McGloin",160,-275,"QB"
"John Skelton",160,-275,"QB"
"Tyler Bray",160,-275,"QB"
"Kellen Moore",160,-275,"QB"
"Landry Jones",160,-275,"QB"
"Case Keenum",160,-275,"QB"
"Zac Robinson",160,-275,"QB"
"Alex Tanney",160,-275,"QB"
"Jordan Palmer",160,-275,"QB"
"Seth Doege",160,-275,"QB"
"Pat Devlin",160,-275,"QB"
"Jimmy Clausen",160,-275,"QB"
"Scott Tolzien",160,-275,"QB"
"Ryan Katz",160,-275,"QB"
"Ryan Lindley",160,-275,"QB"
"Rex Grossman",160,-275,"QB"
"Greg McElroy",160,-275,"QB"
"Thaddeus Lewis",160,-275,"QB"
"Caleb Hanie",160,-275,"QB"
"John Parker Wilson",160,-275,"QB"
"Chandler Harnish",160,-275,"QB"
"Matt Scott",160,-275,"QB"
"Pat White",160,-275,"QB"
"Zac Dysert",160,-275,"QB"
"Rusty Smith",160,-275,"QB"
"B.J. Coleman",160,-275,"QB"
"Brad Sorensen",160,-275,"QB"
"Colby Cameron",160,-275,"QB"
"Adam Weber",160,-275,"QB"
"Ricky Stanzi",160,-275,"QB"
"B.J. Daniels",160,-275,"QB"
"Sean Renfree",160,-275,"QB"
"Joique Bell",160,-62.0575757575757,"RB"
"Roy Helu",160,-63.8575757575757,"RB"
"Johnathan Franklin",160,-64.4575757575757,"RB"
"Kendall Hunter",160,-65.0575757575757,"RB"
"LaRod Stephens-Howling",160,-66.5575757575757,"RB"
"Marcel Reece",160,-66.5575757575757,"RB"
"Mike Tolbert",160,-66.6575757575757,"RB"
"Zac Stacy",160,-68.4575757575757,"RB"
"DuJuan Harris",160,-69.8575757575757,"RB"
"Knile Davis",160,-70.6575757575757,"RB"
"Toby Gerhart",160,-74.5575757575757,"RB"
"Isaac Redman",160,-74.9575757575757,"RB"
"Robert Turbin",160,-76.8575757575757,"RB"
"LaMichael James",160,-77.8575757575757,"RB"
"Rashad Jennings",160,-78.0575757575757,"RB"
