"team","year","league","w","l","t","playoffs","pts.for","pts.ag","pt.dif","coach","o.pt.rnk","o.yd.rnk","d.pt.rnk","d.yd.rnk","pt.dif.rnk","yd.dif.rnk","n.teams","w.pct","pt.dif.gm","pt.dif.qnt","pt.dif.zs"
"crd",2013,"NFL",4,4,0,"",160,174,-14,"Arians",24,29,11,14,19,26,32,0.5,-1.75,0.419354838709677,-0.208347502352073
"crd",2012,"NFL",5,11,0,"",250,357,-107,"Whisenhunt",31,32,17,12,27,31,32,0.3125,-6.6875,0.161290322580645,-0.960823379987127
"crd",2011,"NFL",8,8,0,"",312,348,-36,"Whisenhunt",24,19,17,18,21,25,32,0.5,-2.25,0.354838709677419,-0.326666288309875
"crd",2010,"NFL",5,11,0,"",289,434,-145,"Whisenhunt",26,31,30,29,31,32,32,0.3125,-9.0625,0.032258064516129,-1.49514526164306
"crd",2009,"NFL",10,6,0,"Lost Div",375,325,50,"Whisenhunt",11,14,14,20,12,17,32,0.625,3.125,0.645161290322581,0.419082604325733
"crd",2008,"NFL",9,7,0,"Lost SB",427,426,1,"Whisenhunt",3,4,28,19,18,11,32,0.5625,0.0625,0.451612903225806,0.00932711518972369
"crd",2007,"NFL",8,8,0,"",404,399,5,"Whisenhunt",7,12,27,17,15,13,32,0.5,0.3125,0.548387096774194,0.042986233131638
"crd",2006,"NFL",5,11,0,"",314,389,-75,"Green",19,18,29,29,25,25,32,0.3125,-4.6875,0.225806451612903,-0.810553775436661
"crd",2005,"NFL",5,11,0,"",311,387,-76,"Green",17,8,26,8,23,3,32,0.3125,-4.75,0.290322580645161,-0.717911287096792
"crd",2004,"NFL",6,10,0,"",284,322,-38,"Green",26,27,12,12,21,26,32,0.375,-2.375,0.354838709677419,-0.415787645332511
"crd",2003,"NFL",4,12,0,"",225,452,-227,"McGinnis",32,27,32,26,32,28,32,0.25,-14.1875,0,-2.30182174633656
"crd",2002,"NFL",5,11,0,"",262,417,-155,"McGinnis",29,27,29,29,31,30,32,0.3125,-9.6875,0.032258064516129,-1.74694196573989
"crd",2001,"NFL",7,9,0,"",295,343,-48,"McGinnis",20,18,22,28,21,29,31,0.4375,-3,0.333333333333333,-0.489437617831157
"crd",2000,"NFL",3,13,0,"",210,443,-233,"Tobin,McGinnis",29,24,30,30,30,27,31,0.1875,-14.5625,0.0333333333333333,-1.99640798830996
"crd",1999,"NFL",6,10,0,"",245,382,-137,"Tobin",30,29,27,22,27,29,31,0.375,-8.5625,0.133333333333333,-1.27946894619852
"crd",1998,"NFL",9,7,0,"Lost Div",325,378,-53,"Tobin",15,13,24,21,18,17,30,0.5625,-3.3125,0.413793103448276,-0.476048051341502
"crd",1997,"NFL",4,12,0,"",283,379,-96,"Tobin",25,24,25,27,27,29,30,0.25,-6,0.103448275862069,-1.08369006970934
"crd",1996,"NFL",7,9,0,"",300,397,-97,"Tobin",22,13,26,21,26,17,30,0.4375,-6.0625,0.137931034482759,-1.02844103666487
"crd",1995,"NFL",4,12,0,"",275,422,-147,"Ryan",27,24,30,26,29,27,30,0.25,-9.1875,0.0344827586206896,-1.73399851685402
"crd",1994,"NFL",8,8,0,"",235,267,-32,"Ryan",27,25,4,3,17,10,28,0.5,-2,0.407407407407407,-0.376236327121304
"crd",1993,"NFL",7,9,0,"",326,269,57,"Bugel",9,8,7,21,8,14,28,0.4375,3.5625,0.740740740740741,0.631663236582998
"crd",1992,"NFL",4,12,0,"",243,332,-89,"Bugel",24,17,20,24,23,19,28,0.25,-5.5625,0.185185185185185,-0.876111760099715
"crd",1991,"NFL",4,12,0,"",196,344,-148,"Bugel",27,27,22,16,24,27,28,0.25,-9.25,0.148148148148148,-1.31676751533321
"crd",1990,"NFL",5,11,0,"",268,396,-128,"Bugel",24,18,24,18,26,19,28,0.3125,-8,0.0740740740740741,-1.2256387260008
"crd",1989,"NFL",5,11,0,"",258,377,-119,"Stallings,Kuhlmann",25,25,20,26,25,25,28,0.3125,-7.4375,0.111111111111111,-1.20802671938325
"crd",1988,"NFL",7,9,0,"",344,398,-54,"Stallings",11,4,27,14,19,7,28,0.4375,-3.375,0.333333333333333,-0.683915773781917
"crd",1987,"NFL",7,8,0,"",362,368,-6,"Stallings",7,6,23,25,14,15,28,0.466666666666667,-0.4,0.518518518518519,-0.0662436580228004
"crd",1986,"NFL",4,11,1,"",218,351,-133,"Stallings",28,26,21,4,25,20,28,0.25,-8.3125,0.111111111111111,-1.360409984685
"crd",1985,"NFL",5,11,0,"",278,414,-136,"Hanifan",27,17,24,15,25,19,28,0.3125,-8.5,0.111111111111111,-1.30968954282568
"crd",1984,"NFL",9,7,0,"",423,345,78,"Hanifan",4,3,17,8,8,3,28,0.5625,4.875,0.740740740740741,0.659723156533048
"crd",1983,"NFL",8,7,1,"",374,428,-54,"Hanifan",9,17,25,6,21,15,28,0.5,-3.375,0.259259259259259,-0.613313787593657
"crd",1982,"NFL",5,4,0,"Lost WC",135,170,-35,"Hanifan",25,23,12,14,23,22,28,0.555555555555556,-3.88888888888889,0.185185185185185,-0.638954434523998
"crd",1981,"NFL",7,9,0,"",315,408,-93,"Hanifan",18,19,27,23,25,24,28,0.4375,-5.8125,0.111111111111111,-0.975441002067706
"crd",1980,"NFL",5,11,0,"",299,350,-51,"Hanifan",19,22,21,19,20,19,28,0.3125,-3.1875,0.296296296296296,-0.520711471835484
"crd",1979,"NFL",5,11,0,"",307,358,-51,"Wilkinson,Wilson",17,10,21,16,20,13,28,0.3125,-3.1875,0.296296296296296,-0.662472170883476
"crd",1978,"NFL",6,10,0,"",248,296,-48,"Wilkinson",23,7,15,13,23,7,28,0.375,-3,0.185185185185185,-0.621344159788526
"crd",1977,"NFL",7,7,0,"",272,287,-15,"Coryell",11,7,23,24,18,15,28,0.5,-1.07142857142857,0.37037037037037,-0.170235671220317
"crd",1976,"NFL",10,4,0,"",309,267,42,"Coryell",8,3,16,12,12,6,28,0.714285714285714,3,0.592592592592593,0.32526627700028
"crd",1975,"NFL",11,3,0,"Lost Div",356,276,80,"Coryell",7,5,11,18,9,10,26,0.785714285714286,5.71428571428571,0.68,0.644046399675707
"crd",1974,"NFL",10,4,0,"Lost Div",285,218,67,"Coryell",9,10,8,17,7,12,26,0.714285714285714,4.78571428571429,0.76,0.763670756300952
"crd",1973,"NFL",4,9,1,"",286,365,-79,"Coryell",11,12,23,26,19,25,26,0.285714285714286,-5.64285714285714,0.28,-0.627170615109646
"crd",1972,"NFL",4,9,1,"",193,303,-110,"Hollway",23,25,18,25,21,24,26,0.285714285714286,-7.85714285714286,0.2,-0.921114103093067
"crd",1971,"NFL",4,9,1,"",231,279,-48,"Hollway",20,14,15,20,17,19,26,0.285714285714286,-3.42857142857143,0.36,-0.485059361508516
"crd",1970,"NFL",8,5,1,"",325,228,97,"Winner",4,3,5,10,4,5,26,0.571428571428571,6.92857142857143,0.88,0.968058087088132
"crd",1969,"NFL",4,9,1,"",314,389,-75,"Winner",5,9,14,16,12,16,16,0.285714285714286,-5.35714285714286,0.266666666666667,-0.719802821764038
"crd",1968,"NFL",9,4,1,"",325,289,36,"Winner",4,7,8,12,7,10,16,0.642857142857143,2.57142857142857,0.6,0.25507523703462
"crd",1967,"NFL",6,7,1,"",333,356,-23,"Winner",8,4,12,10,10,6,16,0.428571428571429,-1.64285714285714,0.4,-0.189241131726453
"crd",1966,"NFL",8,5,1,"",264,265,-1,"Winner",11,13,6,1,6,8,15,0.571428571428571,-0.0714285714285714,0.642857142857143,-0.00825807693818706
"crd",1965,"NFL",5,9,0,"",296,309,-13,"Lemm",9,6,7,9,8,6,14,0.357142857142857,-0.928571428571429,0.461538461538462,-0.156270985599432
"crd",1964,"NFL",9,3,2,"",357,331,26,"Lemm",3,2,11,8,5,3,14,0.642857142857143,1.85714285714286,0.692307692307692,0.262383522814392
"crd",1963,"NFL",9,5,0,"",341,283,58,"Lemm",4,4,6,5,6,4,14,0.642857142857143,4.14285714285714,0.615384615384615,0.490730571185318
"crd",1962,"NFL",4,9,1,"",287,361,-74,"Lemm",10,3,10,9,11,7,14,0.285714285714286,-5.28571428571429,0.230769230769231,-0.667168377099253
"crd",1961,"NFL",7,7,0,"",279,267,12,"Ivy,Willsey,Prochaska,Drulis",10,13,4,5,7,12,14,0.5,0.857142857142857,0.538461538461538,0.0919359337344863
"crd",1960,"NFL",6,5,1,"",288,230,58,"Ivy",4,2,5,1,4,1,13,0.5,4.83333333333333,0.75,0.660101782041452
"crd",1959,"NFL",2,10,0,"",234,324,-90,"Ivy",10,12,11,10,11,11,12,0.166666666666667,-7.5,0.0909090909090909,-1.04021442535377
"crd",1958,"NFL",2,9,1,"",261,356,-95,"Ivy",5,6,11,12,11,11,12,0.166666666666667,-7.91666666666667,0.0909090909090909,-0.948982545974538
"crd",1957,"NFL",3,9,0,"",200,299,-99,"Richards",10,10,11,10,12,10,12,0.25,-8.25,0,-1.64933373710185
"crd",1956,"NFL",7,5,0,"",240,182,58,"Richards",7,8,2,7,4,8,12,0.583333333333333,4.83333333333333,0.727272727272727,0.828817496266681
"crd",1955,"NFL",4,7,1,"",224,252,-28,"Richards",9,12,8,7,9,12,12,0.333333333333333,-2.33333333333333,0.272727272727273,-0.457326787601814
"crd",1954,"NFL",2,10,0,"",183,347,-164,"Stydahar",11,10,11,9,11,11,12,0.166666666666667,-13.6666666666667,0.0909090909090909,-1.30472896027682
"crd",1953,"NFL",1,10,1,"",190,337,-147,"Stydahar",10,10,10,10,11,11,12,0.0833333333333333,-12.25,0.0909090909090909,-1.16208421930236
"crd",1952,"NFL",4,8,0,"",172,221,-49,"Kuharich",12,11,3,6,10,8,12,0.333333333333333,-4.08333333333333,0.181818181818182,-0.649384487801831
"crd",1951,"NFL",3,9,0,"",210,287,-77,"Lambeau,Isbell,Handler",10,5,9,6,9,6,12,0.25,-6.41666666666667,0.272727272727273,-0.764546684376351
"crd",1950,"NFL",5,7,0,"",233,287,-54,"Lambeau",9,8,7,9,9,10,13,0.416666666666667,-4.5,0.333333333333333,-0.482054129115424
"crd",1949,"NFL",6,5,1,"",360,301,59,"Parker,Handler",2,5,7,8,4,7,10,0.5,4.91666666666667,0.666666666666667,0.452256682321303
"crd",1948,"NFL",11,1,0,"Lost Conf",395,226,169,"Conzelman",1,1,3,7,3,4,10,0.916666666666667,14.0833333333333,0.777777777777778,1.03835717633958
"crd",1947,"NFL",9,3,0,"Won Champ",306,231,75,"Conzelman",3,3,3,7,2,4,10,0.75,6.25,0.888888888888889,0.757963939913923
"crd",1946,"NFL",6,5,0,"",260,198,62,"Conzelman",3,3,6,6,3,3,10,0.545454545454545,5.63636363636364,0.777777777777778,0.560833302936921
"crd",1945,"NFL",1,9,0,"",98,228,-130,"Handler",9,8,9,7,9,7,10,0.1,-13,0.111111111111111,-1.26802450595669
"crd",1944,"NFL",0,10,0,"",108,328,-220,"Kiesling,Handler",8,8,10,10,10,9,11,0,-22,0.1,-1.85164644562224
"crd",1943,"NFL",0,10,0,"",95,238,-143,"Handler",7,7,8,6,7,7,10,0,-14.3,0.333333333333333,-1.46757576915322
"crd",1942,"NFL",3,8,0,"",98,209,-111,"Conzelman",9,6,7,7,9,6,10,0.272727272727273,-10.0909090909091,0.111111111111111,-0.725280660888142
"crd",1941,"NFL",3,7,1,"",127,197,-70,"Conzelman",6,4,7,6,6,5,10,0.272727272727273,-6.36363636363636,0.444444444444444,-0.49068735512457
"crd",1940,"NFL",2,7,2,"",139,222,-83,"Conzelman",6,8,10,6,8,8,10,0.181818181818182,-7.54545454545455,0.222222222222222,-0.993353259557752
"crd",1939,"NFL",1,10,0,"",84,254,-170,"Nevers",10,10,10,8,10,10,10,0.0909090909090909,-15.4545454545455,0,-1.49807357043713
"crd",1938,"NFL",2,9,0,"",111,168,-57,"Creighton",9,6,8,5,8,6,10,0.181818181818182,-5.18181818181818,0.222222222222222,-0.760608730574164
"crd",1937,"NFL",5,5,1,"",135,165,-30,"Creighton",5,6,7,7,7,7,10,0.454545454545455,-2.72727272727273,0.333333333333333,-0.353524067860817
"crd",1936,"NFL",3,8,1,"",74,143,-69,"Creighton",8,5,5,4,6,5,9,0.25,-5.75,0.375,-0.605469931646606
"crd",1935,"NFL",6,4,2,"",99,97,2,"Creighton",6,6,3,3,5,6,9,0.5,0.166666666666667,0.5,0.0221322609810065
"crd",1934,"NFL",5,6,0,"",80,84,-4,"Schissler",8,10,3,1,7,6,11,0.454545454545455,-0.363636363636364,0.4,-0.0362056349024451
"crd",1933,"NFL",1,9,1,"",52,101,-49,"Schissler",9,9,7,6,7,8,10,0.0909090909090909,-4.45454545454545,0.333333333333333,-0.540912497852033
"crd",1932,"NFL",2,6,2,"",72,114,-42,"Chevigny",5,4,7,1,6,4,8,0.2,-4.2,0.285714285714286,-0.638133802276262
"crd",1931,"NFL",5,4,0,"",120,128,-8,"Nevers,Andrews",2,1,10,1,5,1,10,0.555555555555556,-0.888888888888889,0.555555555555556,-0.101500287492042
"crd",1930,"NFL",5,6,2,"",128,132,-4,"Nevers",6,1,6,1,6,1,11,0.384615384615385,-0.307692307692308,0.5,-0.0461870978024512
"crd",1929,"NFL",6,6,1,"",154,83,71,"Scanlon",4,1,3,1,3,1,12,0.461538461538462,5.46153846153846,0.818181818181818,0.480686209038295
"crd",1928,"NFL",1,5,0,"",7,107,-100,"Gillies",10,1,9,1,9,1,10,0.166666666666667,-16.6666666666667,0.111111111111111,-1.13749032544895
"crd",1927,"NFL",3,7,1,"",69,134,-65,"Chamberlin",9,1,9,1,9,1,12,0.272727272727273,-5.90909090909091,0.272727272727273,-0.655677059540088
"crd",1926,"NFL",5,6,1,"",74,98,-24,"Barry",11,1,13,1,12,1,22,0.416666666666667,-2,0.476190476190476,-0.323667430624787
"crd",1925,"NFL",11,2,1,"Won Champ",230,65,165,"Barry",2,1,3,1,2,1,20,0.785714285714286,11.7857142857143,0.947368421052632,2.9028264116438
"crd",1924,"NFL",5,4,1,"",90,67,23,"Horween",10,1,7,1,8,1,19,0.5,2.3,0.611111111111111,0.746611594135375
"crd",1923,"NFL",8,4,0,"",161,56,105,"Horween",2,1,7,1,2,1,20,0.666666666666667,8.75,0.947368421052632,3.80291697584132
"crd",1922,"NFL",8,3,0,"",96,50,46,"Driscoll",8,1,5,1,7,1,18,0.727272727272727,4.18181818181818,0.647058823529412,1.45976587674337
"crd",1921,"APFA",3,3,2,"",54,53,1,"Driscoll",13,1,6,1,11,1,21,0.375,0.125,0.5,0.0254383485553159
"crd",1920,"APFA",6,2,2,"",115,43,72,"Driscoll",8,1,4,1,8,1,14,0.6,7.2,0.461538461538462,1.43413206325159
"atl",2013,"NFL",2,6,0,"",176,218,-42,"Smith",18,12,25,21,23,18,32,0.25,-5.25,0.290322580645161,-0.62504250705622
"atl",2012,"NFL",13,3,0,"Lost Conf",419,299,120,"Smith",7,8,5,24,5,14,32,0.8125,7.5,0.870967741935484,1.07755893082668
"atl",2011,"NFL",10,6,0,"Lost WC",402,350,52,"Smith",7,10,18,12,10,7,32,0.625,3.25,0.709677419354839,0.471851305336485
"atl",2010,"NFL",13,3,0,"Lost Div",414,288,126,"Smith",5,16,5,16,4,14,32,0.8125,7.875,0.903225806451613,1.29922967563466
