"name","link","abr"
"Arizona Cardinals","/teams/crd/","crd"
"Atlanta Falcons","/teams/atl/","atl"
"Baltimore Ravens","/teams/rav/","rav"
"Buffalo Bills","/teams/buf/","buf"
"Carolina Panthers","/teams/car/","car"
"Chicago Bears","/teams/chi/","chi"
"Cincinnati Bengals","/teams/cin/","cin"
"Cleveland Browns","/teams/cle/","cle"
"Dallas Cowboys","/teams/dal/","dal"
"Denver Broncos","/teams/den/","den"
"Detroit Lions","/teams/det/","det"
"Green Bay Packers","/teams/gnb/","gnb"
"Houston Texans","/teams/htx/","htx"
"Indianapolis Colts","/teams/clt/","clt"
"Jacksonville Jaguars","/teams/jax/","jax"
"Kansas City Chiefs","/teams/kan/","kan"
"Miami Dolphins","/teams/mia/","mia"
"Minnesota Vikings","/teams/min/","min"
"New England Patriots","/teams/nwe/","nwe"
"New Orleans Saints","/teams/nor/","nor"
"New York Giants","/teams/nyg/","nyg"
"New York Jets","/teams/nyj/","nyj"
"Oakland Raiders","/teams/rai/","rai"
"Philadelphia Eagles","/teams/phi/","phi"
"Pittsburgh Steelers","/teams/pit/","pit"
"San Diego Chargers","/teams/sdg/","sdg"
"San Francisco 49ers","/teams/sfo/","sfo"
"Seattle Seahawks","/teams/sea/","sea"
"St. Louis Rams","/teams/ram/","ram"
"Tampa Bay Buccaneers","/teams/tam/","tam"
"Tennessee Titans","/teams/oti/","oti"
"Washington Redskins","/teams/was/","was"
