"id","name","link","dirty_name","Tm","Age","G","GS"
"RodgAa00","Aaron Rodgers","/players/R/RodgAa00.htm","Aaron Rodgers","GNB","30","9","9"
"SandAc00","Ace Sanders","/players/S/SandAc00.htm","Ace Sanders","JAX","22","15","5"
"SmitAl03","Alex Smith","/players/S/SmitAl03.htm","Alex Smith*","KAN","29","15","15"
"LuckAn00","Andrew Luck","/players/L/LuckAn00.htm","Andrew Luck*","IND","24","16","16"
"DaltAn00","Andy Dalton","/players/D/DaltAn00.htm","Andy Dalton","CIN","26","16","16"
"BrowAn04","Antonio Brown","/players/B/BrowAn04.htm","Antonio Brown*","PIT","25","16","14"
"RoetBe00","Ben Roethlisberger","/players/R/RoetBe00.htm","Ben Roethlisberger","PIT","31","16","16"
"PoweBi00","Bilal Powell","/players/P/PoweBi00.htm","Bilal Powell","NYJ","25","16","11"
"GabbBl00","Blaine Gabbert","/players/G/GabbBl00.htm","Blaine Gabbert","JAX","24","3","3"
"RainBo00","Bobby Rainey","/players/R/RainBo00.htm","Bobby Rainey","2TM","26","16","6"
"SmitBr01","Brad Smith","/players/S/SmitBr01.htm","Brad Smith","2TM","30","8","0"
"WeedBr00","Brandon Weeden","/players/W/WeedBr00.htm","Brandon Weeden","CLE","30","8","5"
"HoyeBr00","Brian Hoyer","/players/H/HoyeBr00.htm","Brian Hoyer","CLE","28","3","3"
"OsweBr00","Brock Osweiler","/players/O/OsweBr00.htm","Brock Osweiler","DEN","23","4","0"
"NewtCa00","Cam Newton","/players/N/NewtCa00.htm","Cam Newton*","CAR","24","16","16"
"PalmCa00","Carson Palmer","/players/P/PalmCa00.htm","Carson Palmer","ARI","34","16","16"
"KeenCa00","Case Keenum","/players/K/KeenCa00.htm","Case Keenum","HOU","25","8","8"
"HennCh01","Chad Henne","/players/H/HennCh01.htm","Chad Henne","JAX","28","15","13"
"DaniCh00","Chase Daniel","/players/D/DaniCh00.htm","Chase Daniel","KAN","27","5","1"
"PondCh00","Christian Ponder","/players/P/PondCh00.htm","Christian Ponder","MIN","25","9","9"
"KaepCo00","Colin Kaepernick","/players/K/KaepCo00.htm","Colin Kaepernick","SFO","26","16","16"
"McCoCo00","Colt McCoy","/players/M/McCoCo00.htm","Colt McCoy","SFO","27","4","0"
"PainCu00","Curtis Painter","/players/P/PainCu00.htm","Curtis Painter","NYG","28","3","0"
"McFaDa00","Darren McFadden","/players/M/McFaDa00.htm","Darren McFadden","OAK","26","10","7"
"RobiDe00","Denard Robinson","/players/R/RobiDe00.htm","Denard Robinson","JAX","23","16","0"
"DaviDo02","Dominique Davis","/players/D/DaviDo02.htm","Dominique Davis","ATL","24","11","3"
"BreeDr00","Drew Brees","/players/B/BreeDr00.htm","Drew Brees*","NOR","34","16","16"
"ManuEJ00","EJ Manuel","/players/M/ManuEJ00.htm","EJ Manuel","BUF","23","10","10"
"MannEl00","Eli Manning","/players/M/MannEl00.htm","Eli Manning","NYG","32","16","16"
"SmitGe00","Geno Smith","/players/S/SmitGe00.htm","Geno Smith","NYJ","23","16","16"
"LockJa00","Jake Locker","/players/L/LockJa00.htm","Jake Locker","TEN","25","7","7"
"CampJa00","Jason Campbell","/players/C/CampJa00.htm","Jason Campbell","CLE","32","9","8"
"CutlJa00","Jay Cutler","/players/C/CutlJa00.htm","Jay Cutler","CHI","30","11","11"
"TuelJe00","Jeff Tuel","/players/T/TuelJe00.htm","Jeff Tuel","BUF","22","2","1"
"KerlJe00","Jeremy Kerley","/players/K/KerlJe00.htm","Jeremy Kerley","NYJ","25","12","8"
"FlacJo00","Joe Flacco","/players/F/FlacJo00.htm","Joe Flacco","BAL","28","16","16"
"HekkJo00","Johnny Hekker","/players/H/HekkJo00.htm","Johnny Hekker*+","STL","23","16","0"
"BushJo00","Josh Bush","/players/B/BushJo00.htm","Josh Bush","NYJ","24","16","0"
"CribJo01","Josh Cribbs","/players/C/CribJo01.htm","Josh Cribbs","NYJ","30","6","0"
"FreeJo00","Josh Freeman","/players/F/FreeJo00.htm","Josh Freeman","2TM","25","4","4"
"McCoJo01","Josh McCown","/players/M/McCoJo01.htm","Josh McCown","CHI","34","8","5"
"ClemKe00","Kellen Clemens","/players/C/ClemKe00.htm","Kellen Clemens","STL","30","10","9"
"CousKi00","Kirk Cousins","/players/C/CousKi00.htm","Kirk Cousins","WAS","25","5","3"
"OrtoKy00","Kyle Orton","/players/O/OrtoKy00.htm","Kyle Orton","DAL","31","3","1"
"FitzLa00","Larry Fitzgerald","/players/F/FitzLa00.htm","Larry Fitzgerald*","ARI","30","16","16"
"McCoLu00","Luke McCown","/players/M/McCoLu00.htm","Luke McCown","NOR","32","16","0"
"ReecMa00","Marcel Reece","/players/R/ReecMa00.htm","Marcel Reece*","OAK","28","16","15"
"McBrMa20","Mat McBriar","/players/M/McBrMa20.htm","Mat McBriar","PIT","34","9","0"
"BarkMa00","Matt Barkley","/players/B/BarkMa00.htm","Matt Barkley","PHI","23","3","0"
"CassMa00","Matt Cassel","/players/C/CassMa00.htm","Matt Cassel","MIN","31","9","6"
"FlynMa00","Matt Flynn","/players/F/FlynMa00.htm","Matt Flynn","3TM","28","9","5"
"HassMa00","Matt Hasselbeck","/players/H/HassMa00.htm","Matt Hasselbeck","IND","38","3","0"
"McGlMa01","Matt McGloin","/players/M/McGlMa01.htm","Matt McGloin","OAK","24","7","6"
"MoorMa01","Matt Moore","/players/M/MoorMa01.htm","Matt Moore","MIA","29","1","0"
"RyanMa00","Matt Ryan","/players/R/RyanMa00.htm","Matt Ryan","ATL","28","16","16"
"SchaMa00","Matt Schaub","/players/S/SchaMa00.htm","Matt Schaub","HOU","32","10","8"
"SimmMa00","Matt Simms","/players/S/SimmMa00.htm","Matt Simms","NYJ","25","3","0"
"StafMa00","Matthew Stafford","/players/S/StafMa00.htm","Matthew Stafford","DET","25","16","16"
"DrewMa00","Maurice Jones-Drew","/players/D/DrewMa00.htm","Maurice Jones-Drew","JAX","28","15","15"
"koenemic01","Michael Koenen","/players/K/koenemic01.htm","Michael Koenen","TAM","31","16","0"
"VickMi00","Michael Vick","/players/V/VickMi00.htm","Michael Vick","PHI","33","7","6"
"GlenMi00","Mike Glennon","/players/G/GlenMi00.htm","Mike Glennon","TAM","24","13","13"
"JameMi00","Mike James","/players/J/JameMi00.htm","Mike James","TAM","","8","3"
"SanuMo00","Mohamed Sanu","/players/S/SanuMo00.htm","Mohamed Sanu","CIN","24","16","14"
"FoleNi00","Nick Foles","/players/F/FoleNi00.htm","Nick Foles*","PHI","24","13","10"
"PetePa00","Patrick Peterson","/players/P/PetePa00.htm","Patrick Peterson*+","ARI","23","16","16"
"MannPe00","Peyton Manning","/players/M/MannPe00.htm","Peyton Manning*+","DEN","37","16","16"
"RivePh00","Philip Rivers","/players/R/RivePh00.htm","Philip Rivers*","SDG","32","16","16"
"GrifRo01","Robert Griffin","/players/G/GrifRo01.htm","Robert Griffin","WAS","23","13","13"
"WilsRu00","Russell Wilson","/players/W/WilsRu00.htm","Russell Wilson*","SEA","25","16","16"
"FitzRy00","Ryan Fitzpatrick","/players/F/FitzRy00.htm","Ryan Fitzpatrick","TEN","31","11","9"
"TannRy00","Ryan Tannehill","/players/T/TannRy00.htm","Ryan Tannehill","MIA","25","16","16"
"BradSa00","Sam Bradford","/players/B/BradSa00.htm","Sam Bradford","STL","26","7","7"
"TolzSc00","Scott Tolzien","/players/T/TolzSc00.htm","Scott Tolzien","GNB","26","3","2"
"WallSe00","Seneca Wallace","/players/W/WallSe00.htm","Seneca Wallace","GNB","33","3","1"
"SchiSh99","Shann Schillinger","/players/S/SchiSh99.htm","Shann Schillinger","2TM","27","6","0"
"LannSp00","Spencer Lanning","/players/L/LannSp00.htm","Spencer Lanning","CLE","25","16","0"
"YateT.00","T.J. Yates","/players/Y/YateT.00.htm","T.J. Yates","HOU","26","3","0"
"JackTa00","Tarvaris Jackson","/players/J/JackTa00.htm","Tarvaris Jackson","SEA","30","4","0"
"AustTa00","Tavon Austin","/players/A/AustTa00.htm","Tavon Austin","STL","22","13","3"
"PryoTe00","Terrelle Pryor","/players/P/PryoTe00.htm","Terrelle Pryor","OAK","24","11","9"
"LewiTh01","Thaddeus Lewis","/players/L/LewiTh01.htm","Thaddeus Lewis","BUF","28","6","5"
"BradTo00","Tom Brady","/players/B/BradTo00.htm","Tom Brady*","NWE","36","16","16"
"RomoTo00","Tony Romo","/players/R/RomoTo00.htm","Tony Romo","DAL","33","15","15"
"TaylTy00","Tyrod Taylor","/players/T/TaylTy00.htm","Tyrod Taylor","BAL","24","3","0"
"JenkA.00","A.J. Jenkins","/players/J/JenkA.00.htm","A.J. Jenkins","KAN","24","16","1"
"PeteAd01","Adrian Peterson","/players/P/PeteAd01.htm","Adrian Peterson*","MIN","28","14","14"
"BradAh00","Ahmad Bradshaw","/players/B/BradAh00.htm","Ahmad Bradshaw","IND","27","3","2"
"RobiAl00","Aldrick Robinson","/players/R/RobiAl00.htm","Aldrick Robinson","WAS","25","16","1"
"GreeAl00","Alex Green","/players/G/GreeAl00.htm","Alex Green","NYJ","25","12","0"
"SmitAl22","Alfonso Smith","/players/S/SmitAl22.htm","Alfonso Smith","ARI","26","16","0"
"MorrAl00","Alfred Morris","/players/M/MorrAl00.htm","Alfred Morris*","WAS","25","16","16"
"JeffAl00","Alshon Jeffery","/players/J/JeffAl00.htm","Alshon Jeffery*","CHI","23","16","14"
"BrowAn03","Andre Brown","/players/B/BrowAn03.htm","Andre Brown","NYG","27","8","8"
"CaldAn00","Andre Caldwell","/players/C/CaldAn00.htm","Andre Caldwell","DEN","28","16","2"
"ElliAn00","Andre Ellington","/players/E/ElliAn00.htm","Andre Ellington","ARI","24","15","1"
"HawkAn00","Andrew Hawkins","/players/H/HawkAn00.htm","Andrew Hawkins","CIN","27","8","0"
"BoldAn00","Anquan Boldin","/players/B/BoldAn00.htm","Anquan Boldin","SFO","33","16","16"
"DixoAn00","Anthony Dixon","/players/D/DixoAn00.htm","Anthony Dixon","SFO","26","16","1"
"SherAn00","Anthony Sherman","/players/S/SherAn00.htm","Anthony Sherman","KAN","25","16","7"
"SmitAn01","Antone Smith","/players/S/SmitAn01.htm","Antone Smith","ATL","28","15","0"
"FostAr00","Arian Foster","/players/F/FostAr00.htm","Arian Foster","HOU","27","8","8"
"EdwaAr00","Armanti Edwards","/players/E/EdwaAr00.htm","Armanti Edwards","2TM","25","6","0"
"SmitAr00","Armond Smith","/players/S/SmitAr00.htm","Armond Smith","CAR","27","5","0"
"PascBe00","Bear Pascoe","/players/P/PascBe00.htm","Bear Pascoe","NYG","27","16","5"
"TateBe00","Ben Tate","/players/T/TateBe00.htm","Ben Tate","HOU","25","14","7"
"GreeBe00","BenJarvus Green-Ellis","/players/G/GreeBe00.htm","BenJarvus Green-Ellis","CIN","28","16","16"
"CunnBe01","Benny Cunningham","/players/C/CunnBe01.htm","Benny Cunningham","STL","23","14","0"
"PierBe00","Bernard Pierce","/players/P/PierBe00.htm","Bernard Pierce","BAL","23","16","1"
"ScotBe00","Bernard Scott","/players/S/ScotBe00.htm","Bernard Scott","2TM","29","2","0"
"BoldBr00","Brandon Bolden","/players/B/BoldBr00.htm","Brandon Bolden","NWE","23","12","2"
"FielBr20","Brandon Fields","/players/F/FielBr20.htm","Brandon Fields*","MIA","29","16","0"
"JacoBr00","Brandon Jacobs","/players/J/JacoBr00.htm","Brandon Jacobs","NYG","31","7","1"
"LaFeBr00","Brandon LaFell","/players/L/LaFeBr00.htm","Brandon LaFell","CAR","27","16","16"
"KernBr20","Brett Kern","/players/K/KernBr20.htm","Brett Kern","TEN","27","16","0"
"LeonBr00","Brian Leonard","/players/L/LeonBr00.htm","Brian Leonard","TAM","29","16","1"
"MillBr02","Bruce Miller","/players/M/MillBr02.htm","Bruce Miller","SFO","26","14","13"
"AngeBr00","Bryan Anger","/players/A/AngeBr00.htm","Bryan Anger","JAX","25","16","0"
"BrowBr02","Bryce Brown","/players/B/BrowBr02.htm","Bryce Brown","PHI","22","16","1"
"AndeC.00","C.J. Anderson","/players/A/AndeC.00.htm","C.J. Anderson","DEN","22","4","0"
"SpilC.00","C.J. Spiller","/players/S/SpilC.00.htm","C.J. Spiller","BUF","26","15","10"
"PeerCe00","Cedric Peerman","/players/P/PeerCe00.htm","Cedric Peerman","CIN","27","16","0"
"ClayCh00","Charles Clay","/players/C/ClayCh00.htm","Charles Clay","MIA","24","16","15"
"WhitCh02","Charlie Whitehurst","/players/W/WhitCh02.htm","Charlie Whitehurst","SDG","31","2","0"
"GiveCh00","Chris Givens","/players/G/GiveCh00.htm","Chris Givens","STL","24","16","14"
"IvorCh00","Chris Ivory","/players/I/IvorCh00.htm","Chris Ivory","NYJ","25","15","6"
"JohnCh04","Chris Johnson","/players/J/JohnCh04.htm","Chris Johnson","TEN","28","16","16"
"MaraCh99","Chris Maragos","/players/M/MaraCh99.htm","Chris Maragos","SEA","26","16","0"
"OgboCh00","Chris Ogbonnaya","/players/O/OgboCh00.htm","Chris Ogbonnaya","CLE","27","16","7"
"PolkCh00","Chris Polk","/players/P/PolkCh00.htm","Chris Polk","PHI","24","15","0"
"MichCh00","Christine Michael","/players/M/MichCh00.htm","Christine Michael","SEA","23","3","0"
"WoodCi00","Cierre Wood","/players/W/WoodCi00.htm","Cierre Wood","2TM","22","5","0"
