"id","Rk.pass","QBrec","Cmp","Att.pass","Cmp.","Yds.pass","TD.pass","TD.","Int","Int.","Lng.pass","Y.A.pass","AY.A","Y.C","Y.G.pass","Rate","QBR","Sk","Yds.1.pass","NY.A","ANY.A","Sk.","X4QC","GWD","Rk.rush","Att.rush","Yds.rush","TD.rush","Lng.rush","Y.A.rush","Y.G.rush","A.G","Rec.rush","Yds.1.rush","Y.R.rush","TD.1","Lng.1","R.G.rush","Y.G.1","YScm","RRTD","Fmb.rush","Rk.rec","Rec.rec","Yds.rec","Y.R.rec","TD.rec","Lng.rec","R.G.rec","Y.G.rec","Fmb.rec"
"AjirSe00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"359","3","64","21.3","1","26","0.2","4.6","0"
"AlleDw00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"414","1","20","20.0","1","20","1.0","20.0","0"
"AlleKe00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35","71","1046","14.7","8","43","4.7","69.7","2"
"AmenDa00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"261","1","1","0","1","1.0","0.1","0.1","54","633","11.7","2","57","4.5","52.8","634","2","0","59","54","633","11.7","2","57","4.5","52.8","0"
"AndeC.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"165","7","38","0","11","5.4","9.5","1.8","","","","","","","","38","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AndeDe00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"182","5","0","0","2","0.0","0.0","1.3","","","","","","","","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AngeBr00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"262","1","0","0","0","0.0","0.0","0.1","","","","","","","","0","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AsiaMa00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"89","44","166","3","39","3.8","15.1","4.0","5","13","2.6","0","8","0.5","1.2","179","3","1","325","5","13","2.6","0","8","0.5","1.2","1"
"AubrJo00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"263","1","34","0","34","34.0","5.7","0.2","","","","","","","","34","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AustMi00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"175","24","244","10.2","0","20","2.2","22.2","0"
