"","Player","POS","FL","FPTS","REC.RECEIVING","YDS.RECEIVING","TDS.RECEIVING","ATT.RUSHING","YDS.RUSHING","TDS.RUSHING","ATT.PASSING","CMP.PASSING","YDS.PASSING","TDS.PASSING","INTS.PASSING","Rank.ADP","Yahoo.ADP","ESPN.ADP","CBS.ADP","FFC.ADP","NFL.ADP","AVG.ADP"
"A.J. Green (CIN) WR","A.J. Green (CIN)","WR",0,194.5,91.2,1315.2,10.5,0,0,0,NA,NA,NA,NA,NA,14,12,14,17,12,17,14.4
"A.J. Jenkins (KC) WR","A.J. Jenkins (KC)","WR",0,42.2,24.2,329.1,1.5,1.5,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aaron Dobson (NE) WR","Aaron Dobson (NE)","WR",0,68.8,35,496,3.2,0,0,0,NA,NA,NA,NA,NA,207,178,NA,207,NA,176,187
"Aaron Murray (KC) QB","Aaron Murray (KC)","QB",0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"Aaron Rodgers (GB) QB","Aaron Rodgers (GB)","QB",2,345.6,NA,NA,NA,49.6,216.6,2,544.1,362.2,4563,37.4,8.1,15,18,9,10,19,19,15
"Ace Sanders (JAC) WR","Ace Sanders (JAC)","WR",0,35.6,25.4,272.8,1.3,2,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adam Thielen (MIN) WR","Adam Thielen (MIN)","WR",0,8.3,6.8,82.5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adam Vinatieri (IND) K","Adam Vinatieri (IND)","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,82,164,168,188,127,145.8
"Adrian Peterson (MIN) RB","Adrian Peterson (MIN)","RB",2.5,237.1,42.9,286.1,1.5,296,1378.7,11.1,NA,NA,NA,NA,NA,2,3,1,4,2,1,2.2
"Adrien Robinson (NYG) TE","Adrien Robinson (NYG)","TE",0,43.4,24.8,319.5,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ahmad Bradshaw (IND) RB","Ahmad Bradshaw (IND)","RB",1.5,68.4,17.5,134.3,0.3,97.5,411.5,2.5,NA,NA,NA,NA,NA,181,NA,184,185,138,191,174.5
"AJ McCarron (CIN) QB","AJ McCarron (CIN)","QB",0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"Alan Bonner (HOU) WR","Alan Bonner (HOU)","WR",0,15.8,10.5,158.3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aldrick Robinson (WAS) WR","Aldrick Robinson (WAS)","WR",0,26.5,13.5,205,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alex Henery (PHI) K","Alex Henery (PHI)","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225,NA,196,210,NA,185,197
"Alex Smith (KC) QB","Alex Smith (KC)","QB",3.5,245.2,NA,NA,NA,65.9,313.9,1.3,530.1,319.9,3535.6,23,10.2,151,162,132,143,NA,137,143.5
"Alfred Blue (HOU) RB","Alfred Blue (HOU)","RB",0,35.7,6.7,49.3,0,52.3,229.3,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alfred Morris (WAS) RB","Alfred Morris (WAS)","RB",2.5,190.2,13.2,101.6,0,269.3,1292.3,9.3,NA,NA,NA,NA,NA,24,27,23,24,23,24,24.2
"Allen Hurns (JAC) WR","Allen Hurns (JAC)","WR",0,40.1,25,321.2,1.3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allen Reisner (MIN) TE","Allen Reisner (MIN)","TE",0,5.6,4.5,56.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allen Robinson (JAC) WR","Allen Robinson (JAC)","WR",1,51.6,29,409.9,2.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alshon Jeffery (CHI) WR","Alshon Jeffery (CHI)","WR",1,184.8,82.3,1276.5,8,12.5,81,0.5,NA,NA,NA,NA,NA,25,22,25,28,26,27,25.6
"Alvester Alexander (PIT) RB","Alvester Alexander (PIT)","RB",0,6.5,3,16.5,0,11.3,48.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andre Brown (HOU) RB","Andre Brown (HOU)","RB",0,34.2,11,59,0,43,163,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andre Caldwell (DEN) WR","Andre Caldwell (DEN)","WR",0,40.9,26.4,319.1,1.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andre Ellington (ARI) RB","Andre Ellington (ARI)","RB",1.5,180.7,53.9,473.4,2.2,195.2,973.6,4.3,NA,NA,NA,NA,NA,30,24,47,30,29,31,32.2
"Andre Holmes (OAK) WR","Andre Holmes (OAK)","WR",0,79,37.6,568.3,3.7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andre Johnson (HOU) WR","Andre Johnson (HOU)","WR",0,161.4,92.6,1260.1,5.9,0,0,0,NA,NA,NA,NA,NA,36,37,32,40,46,33,37.6
"Andre Roberts (WAS) WR","Andre Roberts (WAS)","WR",0.5,68.6,43.8,513.2,2.9,1.5,8.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andre Williams (NYG) RB","Andre Williams (NYG)","RB",0.5,104.7,8,63.4,0,143,633.7,6,NA,NA,NA,NA,NA,136,153,158,113,109,164,139.4
"Andrew Hawkins (CLE) WR","Andrew Hawkins (CLE)","WR",0,86.2,55,628.8,3.3,5.5,35,0,NA,NA,NA,NA,NA,237,NA,193,220,NA,NA,206.5
"Andrew Luck (IND) QB","Andrew Luck (IND)","QB",3,302.4,NA,NA,NA,61.3,316.7,3.3,585.6,361.9,4277.2,26.8,10.7,42,53,34,39,52,29,41.4
"Andrew Quarless (GB) TE","Andrew Quarless (GB)","TE",0,46,27,316.1,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrew Szczerba (ATL) TE","Andrew Szczerba (ATL)","TE",0,3.2,3,32.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andy Dalton (CIN) QB","Andy Dalton (CIN)","QB",3,251.3,NA,NA,NA,51.7,148.4,1.5,535.9,331.8,3811.5,27.8,15.1,126,150,115,118,127,132,128.4
"Andy Tanner (NO) WR","Andy Tanner (NO)","WR",0,5.7,3.8,57,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anquan Boldin (SF) WR","Anquan Boldin (SF)","WR",0.5,106.3,60.9,795.9,4.5,1,7,0,NA,NA,NA,NA,NA,113,119,94,124,125,125,117.4
"Anthony Armstrong (CLE) WR","Anthony Armstrong (CLE)","WR",0,11,4.5,64.5,0.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthony Dixon (BUF) RB","Anthony Dixon (BUF)","RB",0,30.2,2,16.5,0,31,135.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthony Fasano (KC) TE","Anthony Fasano (KC)","TE",0,40.6,25.1,256.2,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthony McCoy (SEA) TE","Anthony McCoy (SEA)","TE",0,14.4,10,113.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthony Sherman (KC) RB","Anthony Sherman (KC)","RB",0,18.7,13,106,0.5,6.5,20.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antone Smith (ATL) RB","Antone Smith (ATL)","RB",0,7.2,0.8,6.4,0,10.1,43.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antonio Brown (PIT) WR","Antonio Brown (PIT)","WR",0.5,184.7,103.5,1366.4,7.5,6.5,40.5,0,NA,NA,NA,NA,NA,26,25,29,26,24,25,25.8
"Antonio Gates (SD) TE","Antonio Gates (SD)","TE",0.5,94.1,60.7,680.7,4.5,NA,NA,NA,NA,NA,NA,NA,NA,138,171,120,129,156,131,141.4
"Arian Foster (HOU) RB","Arian Foster (HOU)","RB",2,188.1,43.8,346.3,1.6,251.4,1100.5,6.3,NA,NA,NA,NA,NA,18,19,12,23,21,10,17
"Arizona Cardinals Defense DST","Arizona Cardinals Defense","DST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,79,109,106,143,79,103.2
"Armon Binns (MIA) WR","Armon Binns (MIA)","WR",0,11.6,9,115.5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrelious Benn (PHI) WR","Arrelious Benn (PHI)","WR",0,30.3,18,258,0.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arthur Lynch (MIA) TE","Arthur Lynch (MIA)","TE",0,14.1,9.5,111,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austin Davis (STL) QB","Austin Davis (STL)","QB",0,33.2,NA,NA,NA,7.3,10.5,0,103.5,60.3,569.5,4.2,3.7,NA,NA,NA,NA,NA,NA,NA
"Austin Pettis (STL) WR","Austin Pettis (STL)","WR",0,29.2,19.7,219.5,1.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austin Seferian-Jenkins (TB) TE","Austin Seferian-Jenkins (TB)","TE",0,51.5,27.4,316.8,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baltimore Ravens Defense DST","Baltimore Ravens Defense","DST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,NA,179,191,NA,139,169.7
"Bear Pascoe (ATL) TE","Bear Pascoe (ATL)","TE",0,11.9,9.8,96,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ben Roethlisberger (PIT) QB","Ben Roethlisberger (PIT)","QB",3.5,265.2,NA,NA,NA,28,90.5,1,583.5,371.3,4267.8,28.4,13.6,121,125,122,107,131,128,122.6
"Ben Tate (CLE) RB","Ben Tate (CLE)","RB",3,155.5,29.1,201.3,0.2,229.4,1005.4,6.6,NA,NA,NA,NA,NA,66,107,39,64,60,66,67.2
"Benjamin Watson (NO) TE","Benjamin Watson (NO)","TE",0,31.3,19.6,215.4,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BenJarvus Green-Ellis (CIN) RB","BenJarvus Green-Ellis (CIN)","RB",0.5,40.2,3.8,24.9,0,71.3,273,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benny Cunningham (STL) RB","Benny Cunningham (STL)","RB",1,52.7,8.7,62.5,0,81.9,358.1,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bernard Pierce (BAL) RB","Bernard Pierce (BAL)","RB",0,110.1,20.2,136.5,0.3,158.7,664.9,4.7,NA,NA,NA,NA,NA,119,138,136,119,87,121,120.2
"Bilal Powell (NYJ) RB","Bilal Powell (NYJ)","RB",0,50.5,21.5,160.7,0.3,62.2,254,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bishop Sankey (TEN) RB","Bishop Sankey (TEN)","RB",1.5,164.6,31.4,241.1,1,235.4,1014.9,6,NA,NA,NA,NA,NA,57,70,79,46,50,62,61.4
"Blaine Gabbert (SF) QB","Blaine Gabbert (SF)","QB",0,7.3,NA,NA,NA,1.9,3.4,0,13.6,8.6,99,0.8,0,NA,NA,NA,NA,NA,NA,NA
"Blair Walsh (MIN) K","Blair Walsh (MIN)","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,189,186,219,187,123,180.8
"Blake Bortles (JAC) QB","Blake Bortles (JAC)","QB",2,83.2,NA,NA,NA,20.5,75.7,1.1,192,114.9,1320.7,8.2,6.3,242,NA,NA,211,NA,NA,211
"Bobby Rainey (TB) RB","Bobby Rainey (TB)","RB",0,44.6,11.6,83.1,0.3,68.2,278.5,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brad Smelley (HOU) TE","Brad Smelley (HOU)","TE",0,0.9,1.5,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brad Smith (PHI) WR","Brad Smith (PHI)","WR",0,4.1,3,40.5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brad Sorensen (SD) QB","Brad Sorensen (SD)","QB",0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"Brandin Cooks (NO) WR","Brandin Cooks (NO)","WR",1,111,53.7,768,5.6,4.5,26,0,NA,NA,NA,NA,NA,102,109,126,92,71,118,103.2
"Brandon Barden (JAC) TE","Brandon Barden (JAC)","TE",0,3.1,2.3,30.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brandon Bolden (NE) RB","Brandon Bolden (NE)","RB",0,42.1,11.5,75.1,0,55.2,255.6,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brandon Bostick (GB) TE","Brandon Bostick (GB)","TE",0.5,46.9,23.3,323.2,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brandon Gibson (MIA) WR","Brandon Gibson (MIA)","WR",0,54.7,35.8,426.9,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brandon LaFell (NE) WR","Brandon LaFell (NE)","WR",0.5,64.6,32.1,475.6,2.9,1,6,0,NA,NA,NA,NA,NA,205,165,183,208,NA,NA,185.3
"Brandon Lloyd (SF) WR","Brandon Lloyd (SF)","WR",0,31.2,16.3,222.1,1.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brandon Marshall (CHI) WR","Brandon Marshall (CHI)","WR",0,189.7,100.5,1255.1,10.7,0,0,0,NA,NA,NA,NA,NA,17,14,18,19,15,18,16.8
"Brandon Myers (TB) TE","Brandon Myers (TB)","TE",0,33.2,21.9,235.6,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brandon Pettigrew (DET) TE","Brandon Pettigrew (DET)","TE",1,44.3,28,283.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brandon Tate (CIN) WR","Brandon Tate (CIN)","WR",1,4.5,5.3,65.3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brandon Weeden (DAL) QB","Brandon Weeden (DAL)","QB",0.5,13.2,NA,NA,NA,1,2,0,42.1,25,293.8,1.2,1.3,NA,NA,NA,NA,NA,NA,NA
"Brandon Williams (ARI) TE","Brandon Williams (ARI)","TE",0,0.9,1.5,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brent Celek (PHI) TE","Brent Celek (PHI)","TE",0.5,61.3,34.8,424.9,3.3,NA,NA,NA,NA,NA,NA,NA,NA,201,149,NA,216,NA,190,185
"Brenton Bersin (CAR) WR","Brenton Bersin (CAR)","WR",0,22.8,10,197.5,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brian Hartline (MIA) WR","Brian Hartline (MIA)","WR",1,102.5,67.6,906.8,2.3,0,0,0,NA,NA,NA,NA,NA,172,193,188,157,173,155,173.2
"Brian Hoyer (CLE) QB","Brian Hoyer (CLE)","QB",1.5,57.1,NA,NA,NA,12.6,32.5,0,148.3,90.1,1005.9,7.5,6.7,NA,NA,NA,NA,NA,NA,NA
"Brian Quick (STL) WR","Brian Quick (STL)","WR",0,65.6,34,476.3,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brice Butler (OAK) WR","Brice Butler (OAK)","WR",0,21.1,10.5,165.8,0.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brittan Golden (ARI) WR","Brittan Golden (ARI)","WR",0,8.6,6,85.5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brock Osweiler (DEN) QB","Brock Osweiler (DEN)","QB",0,2.9,NA,NA,NA,1.3,0.3,0,10.5,6.3,72.5,0,0,NA,NA,NA,NA,NA,NA,NA
"Bruce Ellington (SF) WR","Bruce Ellington (SF)","WR",0,21.1,12,180.5,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bruce Gradkowski (PIT) QB","Bruce Gradkowski (PIT)","QB",0,17.2,NA,NA,NA,3.5,13.5,0,48.5,28,297,2,2,NA,NA,NA,NA,NA,NA,NA
"Bruce Miller (SF) RB","Bruce Miller (SF)","RB",0,17.6,15.5,124,0,6,21.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bryce Brown (BUF) RB","Bryce Brown (BUF)","RB",1.5,40,6.1,44.4,0,66.7,295.7,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
