"Team","Year","Lg","Rec","WinPct","PDpG","OffPass","OffRun","DefPass","DefRun","TotOff","TotDef","ST","Total","Link"
"ATL","1966","NFL","3-11-0",0.214,-16.6,-26.9,-4.3,33.3,18.9,-15.8,25.8,1,-40.5,"http://www.pro-football-reference.com/teams/atl/1966.htm"
"ATL","1967","NFL","1-12-1",0.107,-17.6,-29.6,-6.7,38.4,7.9,-19.3,22.2,2,-39.4,"http://www.pro-football-reference.com/teams/atl/1967.htm"
"ATL","1968","NFL","2-12-0",0.143,-15.6,-32.7,-10,37.8,5,-21.8,19.6,1.7,-39.8,"http://www.pro-football-reference.com/teams/atl/1968.htm"
"ATL","1969","NFL","6-8-0",0.429,0.6,-24.2,3,-6.7,4.8,-8.7,-0.6,-1.6,-9.8,"http://www.pro-football-reference.com/teams/atl/1969.htm"
"ATL","1970","NFL","4-8-2",0.357,-3.9,-15.3,-7.2,-1.4,3.7,-11.1,1.4,-1.8,-14.3,"http://www.pro-football-reference.com/teams/atl/1970.htm"
"ATL","1971","NFL","7-6-1",0.536,-0.2,16.9,-13.4,-17.9,3.8,-1.6,-5.4,-1.2,2.6,"http://www.pro-football-reference.com/teams/atl/1971.htm"
"ATL","1972","NFL","7-7-0",0.5,-0.4,-9.9,-2.8,-9.2,5,-5.7,-0.5,-3.1,-8.2,"http://www.pro-football-reference.com/teams/atl/1972.htm"
"ATL","1973","NFL","9-5-0",0.643,6.7,-3.1,-0.7,-22.9,-5,-1.6,-12.3,2,12.6,"http://www.pro-football-reference.com/teams/atl/1973.htm"
"ATL","1974","NFL","3-11-0",0.214,-11.4,-62.7,-6.1,-10.9,4,-34.6,-1.2,0.9,-32.4,"http://www.pro-football-reference.com/teams/atl/1974.htm"
"ATL","1975","NFL","4-10-0",0.286,-3.5,-18.6,-4.9,0.6,3.6,-11.4,2.2,-1.5,-15.1,"http://www.pro-football-reference.com/teams/atl/1975.htm"
"ATL","1976","NFL","4-10-0",0.286,-10,-41.4,-13.6,1.2,13.3,-26.3,8.5,0.4,-34.4,"http://www.pro-football-reference.com/teams/atl/1976.htm"
"ATL","1977","NFL","7-7-0",0.5,3.6,-28.8,-15.5,-34.4,-9.9,-20.4,-20.1,-6.5,-6.8,"http://www.pro-football-reference.com/teams/atl/1977.htm"
"ATL","1978","NFL","9-7-0",0.563,-3.1,-15.9,-17,-5.9,-2.6,-16.5,-4.1,3.7,-8.6,"http://www.pro-football-reference.com/teams/atl/1978.htm"
"ATL","1979","NFL","6-10-0",0.375,-5.5,-13.7,5.2,26.6,-1.7,-4.6,11.9,-2.3,-18.8,"http://www.pro-football-reference.com/teams/atl/1979.htm"
"ATL","1980","NFL","12-4-0",0.75,8.3,15,3.8,-3.7,-8.1,9.1,-5.6,3.3,18,"http://www.pro-football-reference.com/teams/atl/1980.htm"
"ATL","1981","NFL","7-9-0",0.438,4.4,4.4,0.9,6,-10.9,2.8,-1.4,-4.2,0,"http://www.pro-football-reference.com/teams/atl/1981.htm"
"ATL","1982","NFL","5-4-0",0.556,-1.8,2.6,10.8,5,11.6,6.7,8,1,-0.3,"http://www.pro-football-reference.com/teams/atl/1982.htm"
"ATL","1983","NFL","7-9-0",0.438,-1.2,20.8,6.9,25.6,12.6,14.3,19.3,3.8,-1.1,"http://www.pro-football-reference.com/teams/atl/1983.htm"
"ATL","1984","NFL","4-12-0",0.25,-6.3,-16.8,0.3,18.3,-2.2,-8.7,7.5,-5.4,-21.6,"http://www.pro-football-reference.com/teams/atl/1984.htm"
"ATL","1985","NFL","4-12-0",0.25,-10.6,-18.1,11.2,16.4,20.5,-3,18.2,3.3,-18,"http://www.pro-football-reference.com/teams/atl/1985.htm"
"ATL","1986","NFL","7-8-1",0.469,0,-13.5,8.6,3,-1,-1.7,1,-5.9,-8.6,"http://www.pro-football-reference.com/teams/atl/1986.htm"
"ATL","1987","NFL","3-12-0",0.2,-15.4,-32.7,-3.1,20.1,18.2,-21.5,19.1,-3.5,-44,"http://www.pro-football-reference.com/teams/atl/1987.htm"
"ATL","1988","NFL","5-11-0",0.313,-4.4,-22.4,0.9,4.2,7.2,-11.3,5.7,0.8,-16.1,"http://www.pro-football-reference.com/teams/atl/1988.htm"
"ATL","1989","NFL","3-13-0",0.188,-9.9,-4.7,0.8,11.9,13.2,-2.8,12.6,-0.4,-15.9,"http://www.pro-football-reference.com/teams/atl/1989.htm"
"ATL","1990","NFL","5-11-0",0.313,-1.1,-6,-11.2,17.4,-15.3,-8.2,3.6,3,-8.8,"http://www.pro-football-reference.com/teams/atl/1990.htm"
"ATL","1991","NFL","10-6-0",0.625,1.4,-1.1,-2.3,-1.3,1.4,-1.6,0,1.3,-0.3,"http://www.pro-football-reference.com/teams/atl/1991.htm"
"ATL","1992","NFL","6-10-0",0.375,-5.4,15.3,-11.5,21.8,16.8,5.8,19.3,-0.5,-13.9,"http://www.pro-football-reference.com/teams/atl/1992.htm"
"ATL","1993","NFL","6-10-0",0.375,-4.3,-11.6,-5.8,29,-3.4,-9.4,14.7,6.8,-17.2,"http://www.pro-football-reference.com/teams/atl/1993.htm"
"ATL","1994","NFL","7-9-0",0.438,-4.3,-5.2,-4.9,4,12,-5.1,7.3,-0.5,-12.8,"http://www.pro-football-reference.com/teams/atl/1994.htm"
"ATL","1995","NFL","9-7-0",0.563,0.8,23.3,7.4,20.5,5.7,17.9,15,3.2,6.1,"http://www.pro-football-reference.com/teams/atl/1995.htm"
"ATL","1996","NFL","3-13-0",0.188,-9.5,-5.4,8.1,36.5,9.3,-0.8,23.6,-5.1,-29.5,"http://www.pro-football-reference.com/teams/atl/1996.htm"
"ATL","1997","NFL","7-9-0",0.438,-2.6,6.4,-9,11,3.1,-0.6,7.7,7.4,-0.8,"http://www.pro-football-reference.com/teams/atl/1997.htm"
