Team,Color1,Color2,ColorSolo
atl,#000000,#BD0D18,#BD0D18
bcl,#B3B3B3,#007A29,#007A29
buf,#00133F,#00338D,#00338D
car,#0097C6,#0088CE,#0088CE
chi,#00133F,#DD4814,#DD4814
cin,#FF2700,#FB4F14,#FB4F14
cle,#4C230E,#E34912,#E34912
clt,#00417E,#003B7B,#336295
crd,#B10339,#870619,#CC0000
dal,#002E4D,#8C8B8A,#8C8B8A
den,#002E4D,#FB4F14,#FB4F14
det,#006EA1,#006DB0,#006DB0
dtx,#0000CC,#FFFFFF,#0000CC
gnb,#294239,#213D30,#009900
htx,#00133F,#B31B34,#B31B34
jax,#00839C,#007198,#007198
kan,#C60024,#B20032,#B20032
mia,#006B79,#006666,#479191
min,#240A67,#3B0160,#8A00E6
nor,#C6A876,#000000,#D2B887
nwe,#00295B,#0D254C,#0D254C
nyg,#003155,#192F6B,#192F6B
nyj,#174032,#0C371D,#006600
nyy,#000000,#FFFFFF,#000000
oti,#002C4B,#648FCC,#648FCC
phi,#002F30,#003B48,#339966
pit,#000000,#F2C800,#F2C800
rai,#000000,#000000,#000000
ram,#00295B,#13264B,#C9AF74
rav,#2B025B,#280353,#8E2BB0
sdg,#05173C,#5B92E5,#5B92E5
sea,#030F1F,#4EAE47,#4EAE47
sfo,#940029,#AF1E2C,#AF1E2C
tam,#665C50,#B20032,#B20032
was,#8C001A,#773141,#FFB612
