"date","confid","name","points"
2014-05-01,23913,"CÃ´te d'Ivoire","830"
2014-05-01,23913,"Egypt","798"
2014-05-01,23913,"Algeria","795"
2014-05-01,23913,"Ghana","713"
2014-05-01,23913,"Cape Verde Islands","665"
2014-05-01,23913,"Nigeria","631"
2014-05-01,23913,"Tunisia","597"
2014-05-01,23913,"Cameroon","583"
2014-05-01,23913,"Guinea","580"
2014-05-01,23913,"Mali","545"
2014-05-01,23913,"Burkina Faso","528"
2014-05-01,23913,"Libya","522"
2014-05-01,23913,"Senegal","511"
2014-05-01,23913,"South Africa","507"
2014-05-01,23913,"Sierra Leone","484"
2014-05-01,23913,"Morocco","454"
2014-05-01,23913,"Zambia","448"
2014-05-01,23913,"Uganda","395"
2014-05-01,23913,"Gabon","386"
2014-05-01,23913,"Congo DR","380"
2014-05-01,23913,"Togo","374"
2014-05-01,23913,"Botswana","369"
2014-05-01,23913,"Congo","367"
2014-05-01,23913,"Angola","347"
2014-05-01,23913,"Benin","332"
2014-05-01,23913,"Zimbabwe","327"
2014-05-01,23913,"Ethiopia","319"
2014-05-01,23913,"Niger","315"
2014-05-01,23913,"Kenya","284"
2014-05-01,23913,"Central African Republic","284"
2014-05-01,23913,"Equatorial Guinea","261"
2014-05-01,23913,"Mozambique","251"
2014-05-01,23913,"Sudan","241"
2014-05-01,23913,"Liberia","234"
2014-05-01,23913,"Namibia","233"
2014-05-01,23913,"Malawi","227"
2014-05-01,23913,"Tanzania","227"
2014-05-01,23913,"Burundi","215"
2014-05-01,23913,"Rwanda","197"
2014-05-01,23913,"Gambia","190"
2014-05-01,23913,"Mauritania","165"
2014-05-01,23913,"Lesotho","159"
2014-05-01,23913,"Chad","88"
2014-05-01,23913,"SÃ£o TomÃ© e PrÃ­ncipe","86"
2014-05-01,23913,"Seychelles","66"
2014-05-01,23913,"Swaziland","64"
2014-05-01,23913,"Mauritius","55"
2014-05-01,23913,"Comoros","43"
2014-05-01,23913,"Guinea-Bissau","43"
2014-05-01,23913,"Madagascar","32"
2014-05-01,23913,"Eritrea","11"
2014-05-01,23913,"South Sudan","10"
2014-05-01,23913,"Somalia","8"
2014-05-01,23913,"Djibouti","6"
2014-05-01,23914,"USA","1015"
2014-05-01,23914,"Mexico","877"
2014-05-01,23914,"Honduras","759"
2014-05-01,23914,"Costa Rica","748"
2014-05-01,23914,"Panama","739"
2014-05-01,23914,"El Salvador","488"
2014-05-01,23914,"Trinidad and Tobago","457"
2014-05-01,23914,"Haiti","452"
2014-05-01,23914,"Jamaica","420"
2014-05-01,23914,"Cuba","371"
2014-05-01,23914,"Canada","272"
2014-05-01,23914,"Guatemala","223"
2014-05-01,23914,"Dominican Republic","212"
2014-05-01,23914,"St. Vincent and the Grenadines","212"
2014-05-01,23914,"Suriname","197"
2014-05-01,23914,"St. Lucia","191"
2014-05-01,23914,"Grenada","188"
2014-05-01,23914,"Antigua and Barbuda","158"
2014-05-01,23914,"Belize","152"
2014-05-01,23914,"Puerto Rico","143"
2014-05-01,23914,"Guyana","137"
2014-05-01,23914,"St. Kitts and Nevis","124"
2014-05-01,23914,"Aruba","122"
2014-05-01,23914,"Barbados","101"
2014-05-01,23914,"Dominica","93"
2014-05-01,23914,"Nicaragua","84"
2014-05-01,23914,"Bermuda","83"
2014-05-01,23914,"CuraÃ§ao","65"
2014-05-01,23914,"Bahamas","40"
2014-05-01,23914,"Montserrat","33"
2014-05-01,23914,"US Virgin Islands","23"
2014-05-01,23914,"Cayman Islands","21"
2014-05-01,23914,"British Virgin Islands","18"
2014-05-01,23914,"Anguilla","3"
2014-05-01,23914,"Turks and Caicos Islands","0"
2014-05-01,23915,"Brazil","1210"
2014-05-01,23915,"Colombia","1186"
2014-05-01,23915,"Uruguay","1181"
2014-05-01,23915,"Argentina","1178"
2014-05-01,23915,"Chile","1037"
2014-05-01,23915,"Ecuador","794"
2014-05-01,23915,"Venezuela","666"
2014-05-01,23915,"Peru","665"
2014-05-01,23915,"Paraguay","551"
2014-05-01,23915,"Bolivia","497"
2014-05-01,23916,"New Zealand","271"
2014-05-01,23916,"New Caledonia","174"
2014-05-01,23916,"Tahiti","116"
2014-05-01,23916,"Solomon Islands","75"
2014-05-01,23916,"Vanuatu","55"
2014-05-01,23916,"Fiji","47"
2014-05-01,23916,"Samoa","45"
2014-05-01,23916,"Tonga","26"
2014-05-01,23916,"Papua New Guinea","21"
2014-05-01,23916,"American Samoa","18"
2014-05-01,23916,"Cook Islands","5"
2014-05-01,25998,"Iran","715"
2014-05-01,25998,"Japan","613"
2014-05-01,25998,"Uzbekistan","577"
2014-05-01,25998,"Korea Republic","551"
2014-05-01,25998,"Australia","545"
2014-05-01,25998,"Jordan","510"
2014-05-01,25998,"United Arab Emirates","499"
2014-05-01,25998,"Saudi Arabia","455"
2014-05-01,25998,"Oman","418"
2014-05-01,25998,"Qatar","338"
2014-05-01,25998,"China PR","333"
2014-05-01,25998,"Iraq","321"
2014-05-01,25998,"Bahrain","289"
2014-05-01,25998,"Kuwait","283"
2014-05-01,25998,"Lebanon","251"
2014-05-01,25998,"Vietnam","242"
2014-05-01,25998,"Tajikistan","229"
2014-05-01,25998,"Afghanistan","204"
2014-05-01,25998,"Syria","190"
2014-05-01,25998,"Korea DPR","175"
2014-05-01,25998,"Philippines","161"
2014-05-01,25998,"Thailand","156"
2014-05-01,25998,"Malaysia","149"
2014-05-01,25998,"Kyrgyzstan","148"
2014-05-01,25998,"Singapore","144"
2014-05-01,25998,"India","144"
2014-05-01,25998,"Indonesia","135"
2014-05-01,25998,"Maldives","124"
2014-05-01,25998,"Turkmenistan","119"
