year,rd,result
2010,A,"South Africa  -  Mexico  1-1    (June 11, Soccer City Stadium) "
2010,A,"Uruguay  -  France  0-0    (June 11, Green Point Stadium) "
2010,A,"South Africa  -  Uruguay  0-3    (June 16, Loftus Versfeld Stadium) "
2010,A,"France  -  Mexico  0-2    (June 17, Peter Mokaba Stadium) "
2010,A,"Mexico  -  Uruguay  0-1    (June 22, Royal Bafokeng Stadium) "
2010,A,"France  -  South Africa  1-2    (June 22, Free State Stadium) "
2010,B,"Argentina  -  Nigeria  1-0    (June 12, Ellis Park Stadium) "
2010,B,"Korea Republic  -  Greece  2-0    (June 12, Nelson Mandela Bay) "
2010,B,"Greece  -  Nigeria  2-1    (June 17, Free State Stadium) "
2010,B,"Argentina  -  Korea Republic  4-1    (June 17, Soccer City Stadium) "
2010,B,"Nigeria  -  Korea Republic  2-2    (June 22, Moses Mabhida Stadium) "
2010,B,"Greece  -  Argentina  0-2    (June 22, Peter Mokaba Stadium) "
2010,C,"England  -  United States  1-1    (June 12, Royal Bafokeng Stadium) "
2010,C,"Algeria  -  Slovenia  0-1    (June 13, Peter Mokaba Stadium) "
2010,C,"Slovenia  -  United States  2-2    (June 18, Ellis Park Stadium) "
2010,C,"England  -  Algeria  0-0    (June 18, Green Point Stadium) "
2010,C,"Slovenia  -  England  0-1    (June 23, Nelson Mandela Bay) "
2010,C,"United States  -  Algeria  1-0    (June 23, Loftus Versfeld Stadium) "
2010,D,"Germany  -  Australia  4-0    (June 13, Moses Mabhida Stadium) "
2010,D,"Serbia  -  Ghana  0-1    (June 13, Loftus Versfeld Stadium) "
2010,D,"Germany  -  Serbia  0-1    (June 18, Nelson Mandela Bay) "
2010,D,"Ghana  -  Australia  1-1    (June 19, Royal Bafokeng Stadium) "
2010,D,"Ghana  -  Germany  0-1    (June 23, Soccer City Stadium) "
2010,D,"Australia  -  Serbia  2-1    (June 23, Mbombela Stadium) "
2010,E,"Netherlands  -  Denmark  2-0    (June 14, Soccer City Stadium) "
2010,E,"Japan  -  Cameroon  1-0    (June 14, Free State Stadium) "
2010,E,"Netherlands  -  Japan  1-0    (June 19, Moses Mabhida Stadium) "
2010,E,"Cameroon  -  Denmark  1-2    (June 19, Loftus Versfeld Stadium) "
2010,E,"Denmark  -  Japan  1-3    (June 24, Royal Bafokeng Stadium) "
2010,E,"Cameroon  -  Netherlands  1-2    (June 24, Green Point Stadium) "
2010,F,"Italy  -  Paraguay  1-1    (June 14, Green Point Stadium) "
2010,F,"New Zealand  -  Slovakia  1-1    (June 15, Royal Bafokeng Stadium) "
2010,F,"Slovakia  -  Paraguay  0-2    (June 20, Free State Stadium) "
2010,F,"Italy  -  New Zealand  1-1    (June 20, Mbombela Stadium) "
2010,F,"Slovakia  -  Italy  3-2    (June 24, Ellis Park Stadium) "
2010,F,"Paraguay  -  New Zealand  0-0    (June 24, Peter Mokaba Stadium) "
2010,G,"Cote d`Ivoire  -  Portugal  0-0    (June 15, Nelson Mandela Bay) "
2010,G,"Brazil  -  Korea DPR  2-1    (June 15, Ellis Park Stadium) "
2010,G,"Brazil  -  Cote d`Ivoire  3-1    (June 20, Soccer City Stadium) "
2010,G,"Portugal  -  Korea DPR  7-0    (June 21, Green Point Stadium) "
2010,G,"Portugal  -  Brazil  0-0    (June 25, Moses Mabhida Stadium) "
2010,G,"Korea DPR  -  Cote d`Ivoire  0-3    (June 25, Mbombela Stadium) "
2010,H,"Honduras  -  Chile  0-1    (June 16, Mbombela Stadium) "
2010,H,"Spain  -  Switzerland  0-1    (June 16, Moses Mabhida Stadium) "
2010,H,"Chile  -  Switzerland  1-0    (June 21, Nelson Mandela Bay) "
2010,H,"Spain  -  Honduras  2-0    (June 21, Ellis Park Stadium) "
2010,H,"Chile  -  Spain  1-2    (June 25, Loftus Versfeld Stadium) "
2010,H,"Switzerland  -  Honduras  0-0    (June 25, Free State Stadium) "
2010,R16,"Uruguay  -  Korea Republic  2-1    (June 26, Nelson Mandela Bay) "
2010,R16,"United States  -  Ghana  1-2 A.E.T    (June 26, Royal Bafokeng Stadium) "
2010,R16,"Germany  -  England  4-1    (June 27, Free State Stadium) "
2010,R16,"Argentina  -  Mexico  3-1    (June 27, Soccer City Stadium) "
2010,R16,"Netherlands  -  Slovakia  2-1    (June 28, Moses Mabhida Stadium) "
2010,R16,"Brazil  -  Chile  3-0    (June 28, Ellis Park Stadium) "
2010,R16,"Paraguay*  -  Japan  0-0 A.E.T    (June 29, Loftus Versfeld Stadium) "
2010,R16,"Spain  -  Portugal  1-0    (June 29, Green Point Stadium) "
2010,QF,"Uruguay*  -  Ghana  1-1 A.E.T    (July 2, Soccer City Stadium) "
2010,QF,"Netherlands  -  Brazil  2-1    (July 2, Nelson Mandela Bay) "
2010,QF,"Paraguay  -  Spain  0-1    (July 3, Ellis Park Stadium) "
2010,QF,"Argentina  -  Germany  0-4    (July 3, Green Point Stadium) "
2010,SF,"Uruguay  -  Netherlands  2-3    (July 6, Green Point Stadium) "
2010,SF,"Germany  -  Spain  0-1    (July 7, Moses Mabhida Stadium) "
2010,CG,"Uruguay  -  Germany  2-3    (July 10, Nelson Mandela Bay) "
2010,WCF," Netherlands  -  Spain  0-1 A.E.T    (July 11, Soccer City Stadium) "
2006,A," Poland  -  Ecuador  0-2    (June 9, Arena Auf Schalke) "
2006,A,"Germany  -  Costa Rica  4-2    (June 9, Allianz Arena) "
2006,A,"Germany  -  Poland  1-0    (June 14, Westfalenstadion) "
2006,A,"Ecuador  -  Costa Rica  3-0    (June 15, AOL Arena) "
2006,A,"Ecuador  -  Germany  0-3    (June 20, Olympiastadion) "
2006,A,"Costa Rica  -  Poland  1-2    (June 20, AWD Arena) "
2006,B," England  -  Paraguay  1-0    (June 10, Waldstadion) "
2006,B,"Trinidad And Tobago  -  Sweden  0-0    (June 10, Westfalenstadion) "
2006,B,"England  -  Trinidad And Tobago  2-0    (June 15, Frankenstadion) "
2006,B,"Sweden  -  Paraguay  1-0    (June 15, Olympiastadion) "
2006,B,"Sweden  -  England  2-2    (June 20, RheinEnergie Stadion) "
2006,B,"Paraguay  -  Trinidad And Tobago  2-0    (June 20, Fritz Walter Stadion) "
2006,C," Argentina  -  Cote d`Ivoire  2-1    (June 10, HSH Nordbank Arena) "
